# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.02	0.0306027	-1.38659e-05	0.0306036	-5.3256e-07	-0.000693295	1.53018	0.00227051	9.21011	2945.92	0	7.99517
0.04	0.030689	-0.00107252	0.0306036	0.00517863	-0.0529325	0	0.145639	7.30105	2947.76	0	7.99582
0.06	0.0306889	-0.003181	0.0306036	-6.97235e-06	-0.105424	0	0.289894	7.52192	2949.23	0	7.93961
0.08	0.0307751	-0.00633459	0.0306036	0.00517206	-0.15768	0	0.433386	10.1471	2950.38	0	3.82003
0.1	0.0307748	-0.0099993	0.0306036	-1.39595e-05	-0.183235	0	0.503408	11.7919	2951.25	0	-3.54467
0.12	0.0308609	-0.0132185	0.0306036	0.00516433	-0.160962	0	0.441891	8.8505	2951.92	0	2.41406
0.14	0.0308605	-0.0167754	0.0306036	-2.1716e-05	-0.177842	0	0.48775	10.1695	2952.4	0	-2.55606
0.16	-0.0302589	-0.0200219	0.0305997	0.0051571	-0.162324	-0.00019474	0.444272	8.31946	2952.78	0	1.44604
0.18	-0.0302594	-0.0234849	0.0305997	-2.95744e-05	-0.173149	0	0.473044	9.23282	2953.03	0	-1.68241
0.2	-0.0301736	-0.0267658	0.0305978	0.005147	-0.164049	-9.74163e-05	0.447079	8.18675	2953.15	0	0.329618
0.22	-0.0301741	-0.030134	0.0305978	-3.36273e-05	-0.168408	0	0.457824	8.53498	2953.18	0	-0.739631
0.24	0.0311147	-0.0334713	0.0305997	0.00500344	-0.166864	9.74163e-05	0.45211	8.32308	2953.28	0	-1.11285
0.26	0.0311118	-0.0367076	0.0305997	-0.000168521	-0.161817	0	0.436742	7.7612	2953.2	0	0.846481
0.28	-0.0300102	-0.0401222	0.0305997	0.00499953	-0.170731	0	0.459557	8.59596	2953.13	0	-2.77458
0.3	-0.0300132	-0.0432318	0.0305997	-0.000182773	-0.155477	0	0.415568	7.06836	2952.96	0	2.27932
0.32	-0.0299301	-0.0467066	0.0305978	0.00498939	-0.173744	-9.74163e-05	0.463722	8.81783	2952.69	0	-3.98605
0.34	-0.0299332	-0.0497396	0.0305978	-0.000193217	-0.151646	0	0.400666	6.64146	2952.42	0	2.87421
0.36	-0.0298502	-0.0532241	0.0305939	0.00497952	-0.174229	-0.000194833	0.459993	8.75339	2952.13	0	-4.48022
0.38	-0.0298535	-0.0562243	0.0305939	-0.000199137	-0.150006	0	0.390835	6.3793	2951.92	0	2.81846
0.4	0.031429	-0.0596962	0.0305939	0.00462585	-0.173597	0	0.452678	8.54732	2951.71	0	-4.68359
0.42	0.0314177	-0.0626375	0.0305978	-0.000675566	-0.147067	0.000194833	0.377172	6.06799	2951.33	0	3.18599
0.44	0.0314928	-0.0660874	0.0305978	0.00450682	-0.172494	0	0.443659	8.37781	2950.88	0	-4.79658
0.46	0.031482	-0.0690171	0.0305958	-0.00064474	-0.146483	-9.74163e-05	0.368662	5.92227	2950.47	0	2.82423
0.48	0.0315575	-0.072419	0.0305978	0.00453355	-0.170098	9.74163e-05	0.429897	8.01373	2950	0	-4.66944
0.5	0.031547	-0.0753457	0.0305958	-0.000628125	-0.146333	-9.74163e-05	0.360902	5.78467	2949.65	0	2.32742
0.52	0.0316226	-0.0787085	0.0305997	0.00453595	-0.168139	0.000194833	0.416887	7.65781	2949.29	0	-4.62674
0.54	0.031612	-0.0816079	0.0305978	-0.000631283	-0.144972	-9.74163e-05	0.349504	5.58654	2948.91	0	2.1778
0.56	0.0316874	-0.0849261	0.0305997	0.00452275	-0.165911	9.74163e-05	0.402948	7.36918	2948.44	0	-4.52769
0.58	0.0316767	-0.0878013	0.0305978	-0.000640588	-0.143757	-9.74163e-05	0.337871	5.42879	2947.98	0	1.9783
0.6	-0.0294536	-0.0910498	0.0306036	0.00450151	-0.162425	0.000292156	0.383921	6.96807	2947.41	0	-4.16717
0.62	0.0317409	-0.0938637	0.0305978	-0.000650766	-0.140693	-0.000292156	0.318487	5.11697	2946.91	0	2.28164
0.64	-0.0293897	-0.0970809	0.0306036	0.00448788	-0.160863	0.000292156	0.369292	6.73295	2946.37	0	-4.22189
0.66	0.0318044	-0.0998636	0.0305997	-0.000675755	-0.139137	-0.00019474	0.302756	5.00023	2945.72	0	2.14128
0.68	-0.0293269	-0.103028	0.0305997	0.00444668	-0.158218	0	0.350599	6.52024	2944.99	0	-4.05237
0.7	0.0318667	-0.105804	0.0305997	-0.000707105	-0.138786	0	0.290574	4.92846	2944.44	0	1.65459
0.72	-0.029265	-0.108931	0.0305997	0.00442056	-0.156362	0	0.332476	6.23101	2943.89	0	-4.07223
0.74	0.0319284	-0.111676	0.0305978	-0.000718962	-0.137261	-9.74163e-05	0.273693	4.82018	2943.35	0	1.4711
0.76	-0.0292036	-0.114759	0.0305997	0.00440606	-0.154134	9.74163e-05	0.313951	6.0837	2942.71	0	-4.01112
0.78	0.0319903	-0.117484	0.0305997	-0.000692272	-0.136257	0	0.258904	4.88644	2941.98	0	1.13955
0.8	-0.0291413	-0.120558	0.0305997	0.00442814	-0.153684	0	0.300365	6.08626	2941.31	0	-4.32965
0.82	0.0320523	-0.123275	0.0305997	-0.000706021	-0.13586	0	0.2452	4.87928	2940.68	0	0.619441
0.84	-0.0290801	-0.126242	0.0305978	0.00437836	-0.148374	-9.74163e-05	0.273188	5.83154	2939.9	0	-3.62795
0.86	0.0321133	-0.128938	0.0305997	-0.000721112	-0.134803	9.74163e-05	0.229128	4.99753	2939.15	0	0.277734
0.88	0.0321844	-0.13187	0.0306036	0.00426816	-0.146564	0.00019474	0.254803	5.83938	2938.33	0	-3.68317
0.9	0.0321732	-0.134536	0.0305978	-0.000670901	-0.133326	-0.000292156	0.211148	5.07592	2937.58	0	0.021979
0.92	0.0322173	-0.137428	0.0305393	0.00265387	-0.144576	-0.00292528	0.228646	5.83047	2936.78	0	-3.69415
0.94	0.0321359	-0.140072	0.0305393	-0.00487166	-0.132219	0	0.193686	5.19173	2936.12	0	0.23303
0.96	0.0321492	-0.142959	0.0305529	0.000806909	-0.144325	0.000683032	0.219858	6.05129	2935.36	0	-3.84663
0.98	0.032038	-0.145594	0.0305568	-0.00665953	-0.131751	0.000195112	0.177502	5.45037	2934.7	0	-0.044217
1	0.0319914	-0.148475	0.030508	-0.00278389	-0.144093	-0.00244062	0.193447	6.23725	2933.97	0	-4.09031
1.02	0.0320232	-0.151043	0.0305373	0.00191589	-0.128353	0.00146488	0.153121	5.65627	2933.24	0	-1.1313
1.04	0.0319893	-0.153712	0.0305627	-0.00202503	-0.133486	0.00126837	0.159798	6.1013	2932.49	0	-2.15177
1.06	-0.0291599	-0.156356	0.030588	0.00337595	-0.132196	0.00126734	0.148504	6.25675	2931.73	0	-2.84485
1.08	-0.0291968	-0.158897	0.0305412	-0.00221901	-0.127051	-0.00234051	0.126631	6.25151	2930.97	0	-1.22399
1.1	-0.0291453	-0.161544	0.0304865	0.00307731	-0.13234	-0.00273511	0.133598	6.74147	2930.17	0	-3.46002
1.12	-0.029193	-0.164022	0.0304337	-0.00287799	-0.123913	-0.00264216	0.101885	6.64967	2929.39	0	-1.14685
1.14	-0.0291608	-0.166631	0.0303905	0.00191437	-0.130421	-0.0021562	0.111739	7.19944	2928.58	0	-3.56732
1.16	-0.0292471	-0.16907	0.0303474	-0.0052012	-0.121946	-0.00215927	0.0798302	7.17048	2927.81	0	-1.10963
1.18	-0.0292569	-0.171643	0.0302943	-0.000611074	-0.128676	-0.00265427	0.0901239	7.76085	2926.98	0	-3.55967
1.2	-0.0292102	-0.174056	0.0302214	0.00278039	-0.120635	-0.00364482	0.0591347	7.82445	2926.16	0	-2.84478
1.22	-0.0292746	-0.176406	0.0301681	-0.00388064	-0.117507	-0.00266535	0.0419603	8.09973	2925.38	0	-1.59389
