# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.84	0.0114187	0.109665	0.030312	0.0297294	0.0265084	-0.00539869	0.0674369	1.88226	2943.96	3.64932	7.91779
0.86	-0.0532608	0.109352	0.0305451	-0.208423	-0.0156354	0.0116569	0.196199	3.97911	2944.04	-3.73598	-7.96198
0.88	0.00857729	0.11019	0.0305217	0.0379633	0.0418887	-0.00117151	0.0350255	2.18248	2943.89	3.7946	7.96365
0.9	-0.056138	0.11018	0.0303159	-0.210612	-0.000482053	-0.0102888	0.166096	3.96783	2943.76	-3.93257	-7.94228
0.92	-0.0553201	0.111352	0.0304748	0.0490731	0.0585686	0.00794325	0.0017891	2.62066	2943.55	3.83768	7.98582
0.94	-0.0587065	0.111691	0.0301167	-0.203223	0.0169545	-0.0179064	0.129283	3.94935	2943.36	-4.28558	-7.85987
0.96	-0.0573807	0.113198	0.0303454	0.0795609	0.0753619	0.0114372	-0.0362043	3.24352	2942.97	3.35042	7.99644
0.98	-0.0597398	0.113872	0.0300889	-0.141583	0.0336774	-0.0128235	0.0933884	3.68252	2942.73	-4.98314	-5.37974
1	-0.0567009	0.115384	0.0304767	0.182344	0.0756398	0.0193904	-0.0251375	4.02553	2942.35	0.66404	7.99936
1.02	0.00667715	0.116059	0.03051	0.13036	0.0337314	0.00166167	0.0965463	3.8061	2942.22	0.871331	7.99817
1.04	0.00781009	0.115881	0.0304219	0.0680072	-0.00892691	-0.00440264	0.222343	4.85759	2942.17	1.21405	7.9886
1.06	0.00756634	0.114862	0.0304846	-0.0145731	-0.0509147	0.00313213	0.346257	7.2612	2942.3	0.480566	3.46179
1.08	0.00691605	0.113612	0.0305588	-0.0389876	-0.062504	0.00371104	0.383254	8.44896	2942.58	-0.508672	-5.50401
1.1	0.00690455	0.113229	0.0305451	-0.000675518	-0.019145	-0.000682939	0.270504	6.16451	2942.65	1.25725	7.17203
1.12	-0.0555752	0.112095	0.0305236	-0.0764655	-0.0567228	-0.00107381	0.379942	8.87188	2942.83	-2.23582	-7.33148
1.14	0.00684985	0.112072	0.03051	0.0731807	-0.00112541	-0.000683777	0.232655	6.0787	2942.85	0.936821	7.99134
1.16	0.00695249	0.111217	0.03051	0.00619138	-0.0427637	0	0.354346	8.5377	2943.16	0.536701	7.5773
1.18	0.00640243	0.109569	0.0305666	-0.0329733	-0.0823822	0.00283057	0.467172	11.8992	2943.52	-1.18124	-4.09422
1.2	0.00721047	0.108631	0.0304591	0.0485161	-0.0469267	-0.00537271	0.37587	9.43433	2943.75	0.516482	7.95466
1.22	0.00736853	0.106869	0.0304435	0.0095582	-0.0880837	-0.000783056	0.495138	13.1911	2944.22	-0.221069	7.39839
1.24	0.00766951	0.104343	0.0304239	0.0181615	-0.126295	-0.000979472	0.606681	17.7652	2944.92	0.194608	7.0809
1.26	0.00767118	0.101038	0.0304337	0.000224758	-0.165241	0.000489783	0.718368	23.2011	2945.59	-0.00139673	3.92216
1.28	0.0075737	0.0973694	0.0304787	-0.00573545	-0.183456	0.00225101	0.773867	26.4016	2946.33	0.0449212	1.38893
1.3	0.00750305	0.0936967	0.0305139	-0.00415615	-0.183632	0.00175927	0.779281	26.8255	2947.01	0.188987	1.34045
1.32	0.00732052	0.090015	0.0305119	-0.0108808	-0.184085	-9.76957e-05	0.783552	27.1587	2947.56	-0.135474	-0.392765
1.34	0.00739578	0.0866231	0.0305139	0.00458328	-0.169595	9.76957e-05	0.749001	25.4169	2948.27	0.47146	2.91435
1.36	0.00684309	0.0830529	0.0305666	-0.0331123	-0.178513	0.00263518	0.775037	26.9707	2948.88	-1.61945	-5.81766
1.38	0.00807581	0.080336	0.030367	0.0740534	-0.135843	-0.00997903	0.665589	21.323	2949.12	1.96864	6.99653
1.4	0.00710157	0.0768056	0.0304728	-0.058313	-0.176522	0.00529112	0.777219	27.328	2949.33	-3.04861	-7.80742
1.42	0.00949978	0.0744165	0.0303041	0.144025	-0.119452	-0.00843536	0.626524	20.2653	2949.61	2.31245	7.7677
1.44	0.00930738	0.0711356	0.0304493	-0.0113726	-0.164048	0.00726115	0.753772	26.4036	2950.17	-0.341315	-0.616823
1.46	0.00958531	0.0680257	0.0304219	0.0167984	-0.155494	-0.00137109	0.733891	25.3865	2950.49	0.943178	3.13041
1.48	0.00881033	0.0646118	0.0304298	-0.0463608	-0.170694	0.000391901	0.778381	28.1111	2950.96	-2.4302	-7.33757
1.5	0.010711	0.0622609	0.0304493	0.114141	-0.117545	0.000979193	0.641652	21.3789	2951.34	2.36239	7.31651
1.52	0.00994353	0.0590272	0.0304004	-0.0459102	-0.161684	-0.00244919	0.760277	27.3727	2951.69	-2.41772	-7.29147
1.54	0.0118346	0.0568299	0.030249	0.113638	-0.109866	-0.00756858	0.626622	21.0581	2952.01	2.32888	7.30797
1.56	0.011126	0.0537459	0.0302746	-0.0422602	-0.1542	0.00128048	0.746896	26.8723	2952.24	-2.25069	-6.9478
1.58	0.0129077	0.051645	0.030178	0.107135	-0.105044	-0.00483198	0.619217	21.0438	2952.53	2.28743	7.15574
1.6	0.0121328	0.0486687	0.0302805	-0.0462219	-0.148818	0.0051273	0.738325	26.7862	2952.92	-2.44661	-7.28117
1.62	0.0140419	0.0467186	0.0301839	0.114768	-0.097503	-0.00483105	0.602266	20.7326	2953.23	2.32602	7.24497
1.64	0.0134859	0.0439166	0.0302194	-0.0330707	-0.140099	0.0017765	0.721821	26.0388	2953.58	-1.76762	-5.53897
1.66	0.0148181	0.0419159	0.0302056	0.0801702	-0.100038	-0.000690576	0.613735	21.2351	2953.72	2.03411	6.32069
1.68	0.013984	0.0391597	0.03031	-0.0497967	-0.137808	0.00522099	0.71949	26.1183	2953.84	-2.5467	-7.49612
1.7	0.0158369	0.0374407	0.0303002	0.111347	-0.0859488	-0.000491831	0.581014	20.1858	2953.84	2.29185	7.10601
1.72	0.015241	0.0348491	0.030418	-0.0355825	-0.129583	0.00589089	0.698608	25.3457	2953.97	-1.73925	-6.09765
1.74	0.0164967	0.0331086	0.0304435	0.0754394	-0.0870243	0.0012734	0.587379	20.5541	2954.03	1.90159	6.11772
1.76	0.015723	0.0306376	0.0305119	-0.0463312	-0.123548	0.00342289	0.687313	25.0134	2954.4	-2.19296	-7.31092
1.78	0.0172597	0.0291742	0.0304806	0.0922598	-0.0731722	-0.00156378	0.549973	19.4567	2954.61	2.05619	6.72602
1.8	0.0166125	0.0268595	0.0305295	-0.0387679	-0.115736	0.00244277	0.668257	24.2475	2954.69	-1.77254	-6.58396
1.82	0.017894	0.0254387	0.0305607	0.0769233	-0.0710358	0.00156136	0.549922	19.5498	2954.82	1.81986	6.27548
1.84	-0.044077	0.0232107	0.0305334	-0.045951	-0.1114	-0.00136606	0.658556	24.0562	2954.97	-1.97505	-7.32659
1.86	-0.0427507	0.0219729	0.030551	0.0795481	-0.0618943	0.00087833	0.527929	18.9742	2955	1.78618	6.47095
1.88	-0.0435304	0.0198992	0.0305354	-0.0468209	-0.103684	-0.000780728	0.640287	23.3752	2954.9	-1.90118	-7.40112
1.9	-0.0420716	0.0188055	0.0305529	0.0874958	-0.0546849	0.000878237	0.508763	18.5804	2954.9	1.8817	6.68045
1.92	-0.0427351	0.0169132	0.0304982	-0.0398548	-0.0946139	-0.00273408	0.619059	22.5131	2954.93	-1.58096	-6.77557
1.94	-0.0414871	0.015927	0.030549	0.0748412	-0.0493102	0.00253897	0.492769	18.1399	2954.93	1.64214	6.44832
