# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	X	Y	T	V	drive_imp	wheel_imp
1.78	-0.0324696	0.0430876	0.0499294	0.0499819	0.106031	-0.0210958	-0.480214	0.0705326	0.00285001	0.168612	343.654	0	0.15
1.79	-0.0323442	0.0432727	0.0498266	0.00851607	0.0187096	-0.00130827	-0.23303	0.0714819	0.00231658	0.11591	343.641	0	0
1.8	-0.0325813	0.0436017	0.0503054	-0.0322791	0.0324611	0.0294187	-0.489383	0.0725621	0.00239255	0.133756	343.674	0	-0.15
1.81	-0.0322019	0.0456284	0.0509052	0.0263896	0.203371	0.0371481	-0.639133	0.0757817	0.00261586	0.271356	343.771	-0.2	0
1.82	-0.0323935	0.0477941	0.0511797	-0.0317868	0.216222	0.0229204	-0.684077	0.0791404	0.00249209	0.305227	343.805	-0.2	0.15
1.83	-0.0320588	0.04911	0.050966	0.0247712	0.132219	-0.00277083	-0.470713	0.0814912	0.00175887	0.28845	343.821	-0.2	0.15
1.84	-0.0320888	0.0496717	0.050425	-0.00892448	0.0561229	-0.0200068	-0.329188	0.0829	0.000731684	0.341661	343.869	0	0.15
1.85	-0.0316227	0.0493116	0.0503374	0.0450431	-0.0352017	-0.00273976	-0.0877605	0.0831858	0.000262363	0.305556	343.864	0	0
1.86	-0.0315679	0.0490836	0.050615	0.00136629	-0.022721	0.0162412	-0.228981	0.0835896	0.000217666	0.309567	343.833	0	-0.15
1.87	-0.0317862	0.0503157	0.05121	-0.0300053	0.122838	0.0340309	-0.444512	0.0858239	0.000461652	0.369923	343.79	-0.2	0
1.88	-0.0315384	0.0517658	0.0517382	0.0124592	0.145486	0.0340616	-0.650894	0.0883004	0.000578424	0.507407	343.773	-0.2	0
1.89	-0.0317565	0.0537396	0.0515327	-0.0351604	0.196934	0.00111552	-0.702465	0.091427	-2.31697e-05	0.693089	343.817	-0.2	0.15
1.9	-0.0314604	0.0550978	0.0509976	0.0200381	0.136363	-0.0169087	-0.513592	0.0937912	-0.000995571	0.81115	343.909	-0.2	0.15
1.91	-0.0315292	0.0557605	0.0502556	-0.0137711	0.0661628	-0.0283791	-0.384804	0.0952812	-0.00216427	0.961265	344.021	0	0.15
1.92	-0.0310745	0.0554758	0.0500129	0.0434197	-0.0276849	-0.00942109	-0.116827	0.0956296	-0.00269162	0.889928	344.051	0	0
1.93	-0.0310224	0.0553533	0.0502556	0.00157773	-0.0121614	0.0142581	-0.206155	0.0961434	-0.0026969	0.885745	344.033	0	-0.15
1.94	-0.031304	0.056652	0.0507562	-0.0362838	0.129392	0.0298241	-0.452946	0.098423	-0.00243437	0.947501	343.988	-0.2	0
1.95	-0.0310432	0.0581594	0.0510642	0.0159316	0.151237	0.0223956	-0.552647	0.100935	-0.00246511	1.16968	343.938	-0.2	0
1.96	-0.031216	0.0599789	0.0511004	-0.0286045	0.181614	0.0109656	-0.612666	0.103842	-0.00279195	1.42013	343.894	-0.2	0.15
1.97	-0.0308133	0.061033	0.0506539	0.0329255	0.10615	-0.0145744	-0.402498	0.105795	-0.00354732	1.60221	343.865	-0.2	0.15
1.98	-0.0307935	0.0613467	0.0499342	-0.0026598	0.0314124	-0.029164	-0.264728	0.106814	-0.0045713	1.84069	343.842	0	0.15
1.99	-0.0302676	0.0610754	0.0497008	0.0509474	-0.0262396	-0.00934154	-0.0949506	0.107106	-0.00501691	1.81343	343.87	0	0
2	-0.0302227	0.0609839	0.0498732	0.000725806	-0.0090897	0.011237	-0.218211	0.107576	-0.00500047	1.80681	343.846	0	-0.15
2.01	-0.0305452	0.0623753	0.050322	-0.0403073	0.138596	0.0275231	-0.459685	0.10989	-0.00472452	1.86737	343.796	-0.2	0
2.02	-0.0302621	0.0640769	0.0506892	0.0166491	0.170674	0.0266724	-0.649462	0.11256	-0.00459842	2.1896	343.764	-0.2	0
2.03	-0.0304675	0.066341	0.0503741	-0.0340984	0.225996	-0.00312305	-0.757324	0.115917	-0.00515617	2.55875	343.78	-0.2	0.15
