# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	X	Y	T	V	drive_imp	wheel_imp
0.38	0.64778	-0.0152274	0.0392021	2.70238	-0.0952582	0.0519	0.391282	-0.0174952	0.00516542	9.0635	178.636	0	0
0.39	0.668012	-0.0164021	0.0388615	2.02038	-0.117466	-0.0340626	0.42566	-0.0183398	0.0066961	8.92219	178.618	-0.1	0
0.4	0.692053	-0.0178246	0.0393312	2.40106	-0.142254	0.0469681	0.455142	-0.0197465	0.00801519	9.72854	178.598	-0.1	0
0.41	0.718818	-0.019367	0.0389534	2.6726	-0.154238	-0.0377741	0.571125	-0.0207624	0.0101073	10.5664	178.589	0	0
0.42	0.739318	-0.0213673	0.0395292	2.04634	-0.200029	0.0575818	0.534291	-0.0225697	0.0119826	10.4237	178.572	-0.1	0
0.43	0.763199	-0.0234248	0.039422	2.38337	-0.205751	-0.0107229	0.664608	-0.0240493	0.0144211	11.2915	178.562	-0.1	-0.2
0.44	0.790528	-0.0236374	0.0400551	2.73211	-0.0212647	0.0633132	0.0944889	-0.0241352	0.015072	12.0813	178.553	0.1	0
0.45	0.801757	-0.0240295	0.0404521	1.12151	-0.0392029	0.0396941	0.181327	-0.0243793	0.0155979	10.9507	178.548	-0.1	-0.2
0.46	0.817606	-0.0223697	0.0410534	1.58795	0.165977	0.0601292	-0.384623	-0.0229308	0.0143367	11.8425	178.528	0	0
0.47	0.828164	-0.0208227	0.0414206	1.0593	0.154704	0.0367243	-0.416614	-0.0215491	0.0131129	11.7465	178.529	0	0
0.48	0.833873	-0.0193061	0.0418032	0.574235	0.151656	0.0382558	-0.377251	-0.0202614	0.0117579	11.6784	178.552	-0.1	0
0.49	0.844612	-0.0178154	0.0421469	1.07787	0.149072	0.0343744	-0.432158	-0.0189265	0.010551	12.5372	178.547	0	0
0.5	0.850224	-0.0162794	0.0424359	0.56504	0.1536	0.0289008	-0.403075	-0.0175232	0.00922313	12.4662	178.535	-0.1	0
0.51	0.860541	-0.0147195	0.0427537	1.03584	0.15599	0.0317745	-0.423588	-0.0160915	0.00795008	13.3498	178.529	0	0
0.52	0.865811	-0.0131584	0.0429804	0.53109	0.156112	0.0226714	-0.400341	-0.0146228	0.00660855	13.2754	178.533	-0.1	0.2
0.53	0.875997	-0.0136089	0.0433657	1.01777	-0.045053	0.0385307	0.0722644	-0.0149252	0.00703281	14.1455	178.533	-0.1	0
0.54	0.890551	-0.0138541	0.04398	1.45422	-0.0245244	0.0614356	0.085941	-0.0152505	0.00715503	15.0966	178.529	-0.1	0
0.55	0.909136	-0.0139106	0.0440938	1.85737	-0.00564782	0.0113733	0.0829788	-0.0151108	0.0074115	16.0861	178.528	0	0
0.56	0.921654	-0.0141133	0.0443109	1.25209	-0.0202718	0.021717	-0.0396171	-0.0150082	0.00779454	15.9555	178.53	-0.1	0
0.57	0.938158	-0.0141908	0.0449442	1.65085	-0.00775075	0.0633284	-0.0574589	-0.0151185	0.0078647	16.9631	178.533	0	0
0.58	0.949006	-0.0141865	0.0455085	1.08451	0.000431202	0.0564262	0.010557	-0.0151577	0.00775013	16.8427	178.546	-0.1	0
0.59	0.964293	-0.0140831	0.0457515	1.52839	0.0103453	0.0243049	0.0057252	-0.0148896	0.00776642	17.8724	178.544	0	0
0.6	0.974026	-0.0140996	0.0460127	0.974191	-0.00165077	0.0261206	-0.0780065	-0.0145969	0.00789733	17.7543	178.537	-0.1	0
0.61	0.988139	-0.0140536	0.0466766	1.41232	0.00459356	0.0663873	-0.0959669	-0.0145825	0.00781823	18.8053	178.544	0	0
0.62	0.996964	-0.0139396	0.0473325	0.882414	0.0114019	0.065583	-0.0019701	-0.0145454	0.00751352	18.691	178.562	-0.1	0
0.63	1.01066	-0.0139159	0.0479259	1.37107	0.0023731	0.0593401	-0.0954092	-0.0145358	0.0074592	19.7664	178.582	0	0
0.64	1.01901	-0.0138482	0.0485476	0.834741	0.00677081	0.0621784	-0.0201295	-0.0144862	0.00722729	19.6468	178.597	-0.1	0
0.65	1.03228	-0.0138002	0.0490839	1.32793	0.00479352	0.0536237	-0.0815388	-0.0143952	0.00718463	20.7435	178.605	0	0
0.66	1.04023	-0.0137343	0.0497008	0.795102	0.0065892	0.0616904	-0.0320174	-0.0143127	0.00697908	20.6233	178.59	-0.1	0
0.67	1.05291	-0.0136069	0.0502117	1.26937	0.0127448	0.0510875	-0.0706878	-0.0141002	0.00686568	21.7426	178.569	0	0
0.68	1.06041	-0.0134329	0.0507421	0.750915	0.0174006	0.0530418	-0.0459531	-0.0138354	0.00659278	21.6201	178.552	-0.1	0
0.69	1.07258	-0.0132261	0.0511692	1.21717	0.0206817	0.0427138	-0.0778825	-0.0135142	0.0064279	22.7586	178.555	0	0
0.7	1.07913	-0.0130876	0.0517002	0.656412	0.0138461	0.0530984	-0.0755677	-0.0132228	0.00618754	22.6338	178.547	-0.1	0
0.71	1.08998	-0.012871	0.0522623	1.08718	0.0216668	0.0562117	-0.0957932	-0.0129129	0.00594226	23.7913	178.537	0	0
0.72	1.09569	-0.0126808	0.0527733	0.571449	0.019015	0.0510957	-0.0785681	-0.0125568	0.00563362	23.6685	178.529	-0.1	0
0.73	1.10607	-0.0124599	0.0534012	1.04098	0.0220936	0.0627924	-0.123511	-0.0123005	0.00535462	24.8476	178.524	0	0
0.74	1.11134	-0.012283	0.0539345	0.528819	0.0176845	0.0533354	-0.0944032	-0.0119736	0.00499838	24.7228	178.53	-0.1	0
0.75	1.1218	-0.0120702	0.0545557	1.04909	0.0212867	0.0621129	-0.161576	-0.0117153	0.00474104	25.9274	178.544	0	0
0.76	1.12707	-0.0118724	0.0549575	0.528981	0.0197751	0.0401869	-0.121386	-0.0112818	0.00442503	25.7958	178.54	-0.1	0
0.77	1.13734	-0.0115684	0.0558242	1.03015	0.0304003	0.0866681	-0.146545	-0.0110808	0.00399536	27.0213	178.538	0	0
