# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.84	-0.0693193	0.0887753	0.0303238	-0.243932	-0.199391	-0.0055925	0.705004	20.9808	2948.13	-5.83732	3.06847
0.86	-0.0670798	0.0846744	0.0305236	0.134239	-0.205046	0.00999318	0.733506	21.5258	2949.14	5.91207	1.98443
0.88	-0.0713192	0.0805155	0.030079	-0.254583	-0.207946	-0.0222312	0.735396	22.7372	2950.1	-5.85136	2.47344
0.9	-0.0691324	0.07625	0.0302766	0.130885	-0.213275	0.00987705	0.761038	23.0663	2951.03	5.91448	1.44958
0.92	-0.0734213	0.0719338	0.0298582	-0.25774	-0.215809	-0.0209171	0.760848	24.2007	2951.83	-5.84927	1.78399
0.94	-0.0712962	0.0675466	0.0300235	0.126991	-0.219357	0.00826288	0.78121	24.2079	2952.51	5.91695	0.825142
0.96	-0.0756207	0.0631422	0.0296297	-0.260076	-0.220222	-0.0196869	0.777427	25.1598	2953.03	-5.84813	1.1157
0.98	-0.0735643	0.0587103	0.0297863	0.122672	-0.221593	0.007826	0.793813	24.8488	2953.39	5.91895	0.153355
1	-0.0779308	0.0543292	0.0294967	-0.262737	-0.219054	-0.0144803	0.783305	25.358	2953.53	-5.85151	0.542125
1.02	-0.0758814	0.0499936	0.0296458	0.122149	-0.216783	0.00745887	0.786651	24.4656	2953.83	5.92065	-0.385505
1.04	-0.08029	0.045766	0.0294522	-0.265326	-0.211377	-0.00968371	0.774013	24.7526	2954.09	-5.85809	0.0705971
1.06	-0.0782897	0.0415522	0.0296157	0.119202	-0.210691	0.00817487	0.761594	23.6338	2954.32	5.92325	-1.15169
1.08	-0.0827315	0.0375602	0.0294501	-0.267298	-0.199603	-0.00827601	0.741086	23.2162	2954.53	-5.86296	-0.454412
1.1	-0.0807608	0.0336649	0.0295249	0.117438	-0.194762	0.00374001	0.722004	21.5103	2954.62	5.92345	-1.72494
1.12	-0.0852366	0.0300589	0.0293589	-0.269351	-0.180303	-0.00830162	0.69453	20.7804	2954.67	-5.87162	-0.797468
1.14	-0.0832837	0.0265713	0.0294562	0.116369	-0.17438	0.00486514	0.670663	18.9382	2954.86	5.92259	-2.19705
1.16	-0.0877183	0.0233875	0.0293203	-0.266839	-0.159188	-0.0067953	0.63265	18.1522	2955.02	-5.87389	-1.11583
1.18	-0.085729	0.0203829	0.029442	0.118611	-0.150228	0.00608684	0.611165	16.0913	2955.05	5.92088	-2.44048
1.2	-0.0901406	0.0177371	0.0294015	-0.265369	-0.132291	-0.00202619	0.56946	15.2346	2955.06	-5.88038	-1.23697
1.22	-0.088085	0.0152687	0.0295108	0.122724	-0.123421	0.00546426	0.537189	13.1698	2955.07	5.91933	-2.59692
1.24	-0.0924538	0.0131689	0.0294461	-0.262687	-0.10499	-0.0032356	0.496514	12.5783	2955.15	-5.88475	-1.34282
1.26	-0.0904029	0.0112313	0.0295088	0.122533	-0.0968788	0.00313465	0.465074	10.6939	2955.16	5.91593	-2.81123
1.28	-0.0947825	0.00967433	0.0294643	-0.263249	-0.0778492	-0.00222391	0.423422	10.3544	2955.26	-5.89088	-1.45195
1.3	-0.0927304	0.00828028	0.0295027	0.122685	-0.0697023	0.00192085	0.391849	8.59608	2955.36	5.91126	-2.90978
1.32	-0.0971017	0.00726919	0.0294724	-0.262665	-0.0505545	-0.00151629	0.350296	8.53836	2955.38	-5.89574	-1.48732
1.34	-0.0950288	0.00642207	0.0295027	0.12402	-0.042356	0.00151629	0.318518	6.91496	2955.39	5.9057	-2.87312
1.36	-0.0993725	0.00595358	0.0294987	-0.26093	-0.0234244	-0.000202097	0.277211	7.14594	2955.36	-5.89966	-1.44991
1.38	-0.0972599	0.00564052	0.0295209	0.12649	-0.0156534	0.00111107	0.246485	5.692	2955.35	5.89978	-2.72242
1.4	-0.101569	0.00570801	0.0295088	-0.258756	0.0033746	-0.000605918	0.205225	6.17932	2955.42	-5.90327	-1.34555
1.42	-0.0994183	0.00594162	0.0295613	0.128839	0.0116805	0.00262391	0.177174	4.86658	2955.48	5.89171	-2.43744
1.44	-0.10367	0.00651866	0.0296056	-0.255246	0.0288521	0.00221655	0.141585	5.66175	2955.38	-5.90654	-1.1211
1.46	-0.101451	0.00720029	0.0297061	0.133005	0.0340814	0.00502542	0.114632	4.51699	2955.37	5.88709	-2.13642
1.48	-0.105626	0.00820955	0.0297382	-0.250571	0.050463	0.00160458	0.0774096	5.44182	2955.29	-5.90838	-0.890038
1.5	-0.103329	0.00936015	0.0298223	0.137799	0.0575299	0.0042038	0.0485884	4.42313	2955.28	5.88211	-1.74666
1.52	-0.107415	0.0107932	0.0298502	-0.245173	0.0716515	0.00139857	0.0194746	5.49954	2955.26	-5.91069	-0.535527
1.54	-0.105023	0.012317	0.0299001	0.143533	0.0761897	0.00249427	-0.00291187	4.60821	2955.24	5.87904	-1.29034
1.56	-0.109011	0.0140676	0.0299181	-0.239263	0.0875337	0.000896957	-0.0244439	5.72347	2955.2	-5.91252	-0.11448
1.58	-0.106583	0.015834	0.029926	0.145699	0.0883202	0.00039842	-0.0380358	4.87733	2955.23	5.87497	-0.917471
1.6	-0.110552	0.0177677	0.0298782	-0.238106	0.0966833	-0.00239229	-0.0484185	5.96725	2955.24	-5.91475	0.200422
1.62	-0.108107	0.0196942	0.0298981	0.146767	0.0963233	0.00099726	-0.0578182	5.13176	2955.1	5.87027	-0.520967
1.64	-0.112029	0.0217609	0.0299439	-0.235308	0.103335	0.00229115	-0.0663062	6.16569	2954.97	-5.91634	0.58155
1.66	-0.109507	0.0237678	0.0299957	0.151354	0.100347	0.00258591	-0.0673516	5.31836	2954.95	5.8714	-0.106223
1.68	-0.113394	0.0258459	0.02993	-0.23316	0.103902	-0.00328282	-0.0671982	6.23443	2954.92	-5.91743	0.95298
1.7	-0.110856	0.0278336	0.0300235	0.152345	0.0993887	0.00467338	-0.0608007	5.38441	2954.74	5.87017	0.235938
1.72	-0.114714	0.0298671	0.0300255	-0.231453	0.101671	9.9279e-05	-0.0596071	6.22401	2954.57	-5.91817	1.30367
1.74	-0.112123	0.031771	0.0301957	0.155442	0.0951987	0.00851322	-0.0457448	5.38243	2954.52	5.87294	0.554468
1.76	-0.115951	0.0336755	0.0301799	-0.229647	0.0952236	-0.000789948	-0.0340289	6.12658	2954.47	-5.91871	1.68418
1.78	-0.113337	0.0354032	0.0303886	0.156868	0.0863831	0.010433	-0.0171184	5.32649	2954.27	5.87561	0.795983
1.8	-0.11713	0.0371045	0.0304493	-0.227613	0.0850648	0.0030376	-0.00930769	6.02353	2954.1	-5.91737	1.93555
1.82	-0.0532736	0.0386397	0.0305646	0.159081	0.0767605	0.00576461	0.0120836	5.3007	2953.96	5.87931	1.00803
1.84	-0.118185	0.0401173	0.0304533	-0.222391	0.0738809	-0.00556884	0.0313299	5.96342	2953.85	-5.91621	2.36476
1.86	-0.115438	0.0413296	0.0305685	0.16481	0.0606164	0.00576386	0.0632464	5.38708	2953.76	5.88616	1.28138
1.88	-0.11899	0.04245	0.0303925	-0.213077	0.0560168	-0.00880109	0.0848958	6.04489	2953.73	-5.91066	2.74125
1.9	-0.116131	0.0432458	0.0305295	0.17152	0.0397911	0.00684969	0.120475	5.72504	2953.73	5.89385	1.48851
1.92	-0.119571	0.0439284	0.0303552	-0.206455	0.0341313	-0.0087142	0.149728	6.43908	2953.72	-5.90214	2.88668
1.94	-0.11661	0.0442642	0.0305041	0.177632	0.0167904	0.00744443	0.188566	6.4252	2953.72	5.89965	1.69154
1.96	-0.119946	0.0444556	0.0303415	-0.200169	0.00956897	-0.00813194	0.222183	7.26826	2953.73	-5.88838	2.83819
1.98	-0.116899	0.0442987	0.0304982	0.182766	-0.00784528	0.00783876	0.261464	7.56719	2953.72	5.9042	1.84033
2	-0.120173	0.0439604	0.0303375	-0.196539	-0.0169136	-0.00803526	0.295017	8.61001	2953.77	-5.86906	2.51806
2.02	-0.117061	0.0433784	0.0305041	0.186666	-0.0291033	0.00832845	0.330452	8.91707	2953.73	5.90705	1.95776
2.04	-0.120399	0.0426404	0.0303572	-0.200295	-0.0368968	-0.00734627	0.352705	9.92343	2953.71	-5.86169	2.21062
2.06	-0.117358	0.0417175	0.0305276	0.182361	-0.0461439	0.00851844	0.380574	10.1633	2953.81	5.90829	1.75031
2.08	-0.120772	0.040652	0.0303611	-0.204895	-0.053275	-0.00832202	0.402462	11.2876	2953.92	-5.85827	1.9214
2.1	-0.1178	0.0394108	0.0305529	0.178282	-0.0620646	0.00959076	0.42833	11.5282	2953.99	5.90963	1.51084
2.12	-0.121269	0.0380554	0.030418	-0.208229	-0.0677669	-0.00674641	0.452187	12.7322	2954.11	-5.85463	1.64664
2.14	-0.118369	0.036521	0.0305627	0.17397	-0.0767229	0.00723414	0.466642	12.9177	2954.22	5.91133	1.18231
2.16	-0.121908	0.0349376	0.0304239	-0.212423	-0.0791682	-0.00694022	0.486838	13.9661	2954.33	-5.85306	1.31003
2.18	-0.119061	0.0332455	0.0305549	0.170763	-0.0846056	0.00655008	0.495785	13.8707	2954.52	5.91209	0.920774
2.2	-0.122639	0.0315219	0.0304454	-0.214685	-0.0861797	-0.00547273	0.51191	14.8865	2954.68	-5.85142	1.01886
2.22	-0.0586188	0.0296922	0.0305939	0.168824	-0.0914836	0.00742255	0.516884	14.6993	2954.79	5.91339	0.641134
2.24	-0.123433	0.0278252	0.0304454	-0.216552	-0.0933493	-0.00742255	0.528661	15.7693	2954.9	-5.84676	0.608447
2.26	-0.120644	0.0258998	0.03059	0.167263	-0.096269	0.00722762	0.535769	15.4032	2954.93	5.91435	0.380078
2.28	-0.124307	0.0239787	0.0304728	-0.219777	-0.0960552	-0.00585765	0.543925	16.3592	2954.91	-5.85031	0.369663
2.3	-0.0603698	0.0220139	0.0305705	0.163861	-0.0982439	0.00488292	0.543493	15.8357	2954.95	5.91506	0.0121
2.32	-0.125315	0.0200871	0.0305724	-0.224378	-0.0963396	9.75095e-05	0.545899	16.6245	2954.89	-5.85563	0.0776536
2.34	-0.0614419	0.0181607	0.0305119	0.160065	-0.0963202	-0.0030254	0.540393	15.8035	2954.86	5.91528	-0.375121
2.36	-0.0652516	0.01629	0.0305958	-0.228556	-0.093535	0.00419496	0.523892	16.3622	2954.89	-5.85883	-0.325433
2.38	-0.0627018	0.0145102	0.0305724	0.153	-0.0889908	-0.00116955	0.522351	15.2332	2955.14	5.91428	-0.881385
2.4	-0.127802	0.0128533	0.0305276	-0.233707	-0.0828437	-0.00224402	0.508067	15.6714	2955.26	-5.87182	-0.359199
2.42	-0.125274	0.011271	0.0305627	0.151659	-0.0791126	0.00175647	0.491054	14.3141	2955.23	5.91404	-1.18323
2.44	-0.129183	0.00990796	0.0304943	-0.234606	-0.0681533	-0.0034173	0.471632	14.4513	2955.38	-5.87815	-0.42372
2.46	-0.126667	0.00859438	0.0305627	0.150946	-0.0656794	0.0034173	0.453217	13.1894	2955.48	5.91287	-1.38948
2.48	-0.130584	0.0075002	0.0305276	-0.235037	-0.054709	-0.00175647	0.436055	13.4476	2955.54	-5.88253	-0.496242
2.5	-0.128059	0.00647927	0.0305861	0.151494	-0.0510462	0.0029264	0.413827	12.0753	2955.48	5.91138	-1.49166
2.52	-0.132002	0.0056763	0.0305588	-0.236581	-0.0401487	-0.00136495	0.389702	12.3793	2955.39	-5.88693	-0.611428
2.54	-0.129501	0.00496212	0.0305958	0.150006	-0.0357089	0.00185212	0.377778	11.103	2955.32	5.90825	-1.56729
2.56	-0.133466	0.00446033	0.0305685	-0.237858	-0.0250896	-0.00136457	0.348911	11.4846	2955.25	-5.89175	-0.629691
2.58	-0.0697667	0.0040375	0.0305549	0.149615	-0.0211415	-0.000682659	0.333727	10.2308	2955.2	5.90599	-1.63888
2.6	-0.0737355	0.0038458	0.0305685	-0.238112	-0.00958501	0.000682659	0.306918	10.6901	2955.16	-5.89572	-0.597879
2.62	-0.0712507	0.00375424	0.0305295	0.149103	-0.004578	-0.0019514	0.292111	9.41618	2955.16	5.9019	-1.58446
2.64	-0.0752236	0.00387815	0.0305432	-0.238358	0.00619566	0.000683311	0.263632	9.99847	2955.13	-5.89954	-0.533192
2.66	-0.0727397	0.00407732	0.0305178	0.149052	0.00995859	-0.00126921	0.253457	8.84736	2955.1	5.89815	-1.49326
2.68	-0.0767106	0.0044934	0.0305451	-0.238238	0.0208041	0.00136681	0.223084	9.48819	2955.09	-5.90269	-0.439765
2.7	-0.0742213	0.00497118	0.0305295	0.149373	0.0238888	-0.000780914	0.215383	8.40647	2955.06	5.89439	-1.35683
2.72	-0.139407	0.00561792	0.0305939	-0.238825	0.0323373	0.00321856	0.185462	9.1904	2955.04	-5.90488	-0.392302
2.74	-0.136963	0.00634059	0.0305705	0.146656	0.0361333	-0.00116965	0.183969	8.14947	2955.15	5.88829	-1.24339
2.76	-0.140872	0.00724157	0.0304806	-0.234535	0.0450491	-0.00449168	0.166257	9.008	2955.28	-5.90785	0.00350537
2.78	-0.138316	0.00813079	0.0304885	0.153308	0.0444608	0.000391062	0.163583	8.07409	2955.36	5.8892	-0.875946
2.8	-0.142113	0.00913936	0.0303788	-0.227815	0.0504285	-0.00548465	0.151102	8.95706	2955.41	-5.90743	0.33951
2.82	-0.139469	0.0100867	0.03042	0.158561	0.0473652	0.00205906	0.154499	8.1265	2955.45	5.89102	-0.59224
2.84	-0.143207	0.0111101	0.0302726	-0.224287	0.051172	-0.00736667	0.146338	9.01751	2955.48	-5.90693	0.56071
2.86	-0.140502	0.0120517	0.030314	0.162215	0.0470784	0.00206623	0.157167	8.2554	2955.47	5.89211	-0.331282
2.88	-0.144221	0.0130196	0.0301661	-0.223166	0.0483969	-0.00739256	0.149659	9.15351	2955.48	-5.90635	0.689083
2.9	-0.141491	0.0139137	0.0302194	0.163739	0.0447066	0.00266554	0.169158	8.44056	2955.46	5.89209	-0.111916
2.92	-0.145194	0.0148061	0.0301246	-0.222283	0.0446194	-0.00474192	0.166416	9.34556	2955.4	-5.90659	0.885137
2.94	-0.142509	0.015571	0.0301938	0.16102	0.0382438	0.00345912	0.182463	8.70562	2955.35	5.89187	-0.125472
2.96	-0.146259	0.0163466	0.030077	-0.225068	0.0387783	-0.00583567	0.180867	9.60949	2955.36	-5.9069	0.896557
2.98	-0.143589	0.0170314	0.0301483	0.1601	0.0342418	0.00356343	0.201111	8.96408	2955.37	5.89081	0.00936585
3	-0.147358	0.0177378	0.0300294	-0.226214	0.0353212	-0.00594379	0.204139	9.8505	2955.36	-5.90862	1.0797
3.02	-0.144708	0.0183033	0.0300394	0.158824	0.0282743	0.000496209	0.218772	9.26681	2955.35	5.89068	0.0635843
3.04	-0.148459	0.0188479	0.0299519	-0.225175	0.0272292	-0.00437228	0.218799	10.1873	2955.2	-5.90619	1.09551
3.06	-0.145809	0.0192651	0.0301206	0.158885	0.0208576	0.00843508	0.23783	9.65857	2955.13	5.89248	0.0837617
3.08	-0.149583	0.0197384	0.0300394	-0.226571	0.0236681	-0.0040628	0.25148	10.5223	2955.1	-5.90861	1.30505
3.1	-0.146956	0.0200242	0.0302115	0.157509	0.0142884	0.00860803	0.257235	10.029	2955.05	5.89302	0.0792265
