# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	X	Y	T	V	drive_imp	wheel_imp
11.35	0.133756	0.0402199	0.0944939	3.21456	-0.00950955	0.0916637	0.743283	-0.0302898	-0.006992	1.15448	177.974	0	0
11.36	0.159921	0.0399298	0.0949628	2.5661	-0.0290129	0.0468835	0.650136	-0.0336483	-0.00680748	0.991602	177.951	0	0
11.37	0.179669	0.0397383	0.0962918	1.92182	-0.0191469	0.132903	0.720914	-0.0364931	-0.00693189	0.889448	177.919	0	0
11.38	0.193914	0.0391204	0.0977635	1.39122	-0.061794	0.147173	0.430595	-0.0395507	-0.00680767	0.822639	177.881	0.1	0
11.39	0.193437	0.0382128	0.0997027	-0.0937649	-0.0907578	0.19392	0.705275	-0.0417692	-0.0065247	0.638554	177.843	0.1	0
11.4	0.187441	0.0366145	0.101711	-0.621574	-0.159827	0.200804	0.371417	-0.0444356	-0.00597253	0.522699	177.808	0.1	0
11.41	0.176171	0.035196	0.104082	-1.16122	-0.14185	0.237165	0.573759	-0.0463848	-0.00563167	0.470959	177.773	0.1	-0.1
11.42	0.16008	0.0345296	0.106821	-1.61765	-0.0666425	0.273909	0.242398	-0.0470137	-0.00572139	0.447618	177.735	-0.1	0
11.43	0.158968	0.034808	0.108276	-0.113033	0.0278346	0.145428	0.0388072	-0.0477347	-0.00512504	0.454822	177.698	-0.1	0
11.44	0.171061	0.0365458	0.110136	1.19113	0.173787	0.185997	0.14971	-0.0479823	-0.00546281	0.595116	177.696	-0.1	0
11.45	0.187884	0.0385393	0.111268	1.67317	0.19935	0.113192	-0.00959497	-0.0483929	-0.00515103	0.767462	177.67	-0.1	0.1
11.46	0.208816	0.040133	0.112946	2.05679	0.159364	0.167882	0.29719	-0.0498683	-0.00542323	1.01849	177.661	-0.1	0
11.47	0.233611	0.0423209	0.113453	2.43748	0.218789	0.0506565	0.324226	-0.050963	-0.00484751	1.28141	177.67	-0.1	0.1
11.48	0.261859	0.043875	0.114647	2.76075	0.155412	0.119416	0.560302	-0.0533684	-0.00453386	1.628	177.645	-0.1	0.1
11.49	0.293239	0.0448409	0.115886	3.053	0.0965964	0.123914	0.773788	-0.0570369	-0.00434448	2.0483	177.632	-0.1	0
11.5	0.32743	0.0462634	0.116387	3.33219	0.142251	0.0501007	0.757891	-0.0604297	-0.00349693	2.40301	177.601	-0.1	0.1
11.51	0.364202	0.0471526	0.117422	3.56641	0.0889186	0.103482	1.00864	-0.0650379	-0.00287477	2.91641	177.59	-0.1	0
11.52	0.403233	0.0484523	0.117379	3.78917	0.129966	-0.00432581	1.01331	-0.0692469	-0.0012658	3.33714	177.596	-0.1	0.1
11.53	0.444507	0.0490242	0.117836	3.99056	0.057191	0.0456676	1.26145	-0.0748355	0.00038267	3.95131	177.603	-0.1	0
11.54	0.486902	0.050158	0.117162	4.09126	0.113383	-0.0673696	1.38475	-0.0795526	0.00299958	4.40735	177.625	-0.1	0.1
11.55	0.531128	0.0504193	0.117588	4.2654	0.0261243	0.0426017	1.48089	-0.085898	0.00555043	5.0789	177.646	-0.1	0
11.56	0.576168	0.0513387	0.116379	4.3357	0.091945	-0.120928	1.61159	-0.0909108	0.00933922	5.55903	177.654	-0.1	0.1
11.57	0.622695	0.0513145	0.11653	4.48336	-0.00242479	0.0151843	1.63099	-0.0975846	0.0131978	6.27223	177.646	0	0
11.58	0.660957	0.0510894	0.117717	3.65674	-0.0225071	0.118642	1.68546	-0.1041	0.0165015	5.98479	177.619	0	0
11.59	0.692195	0.0501229	0.119213	2.98706	-0.0966519	0.149582	1.33033	-0.110739	0.0204065	5.76187	177.58	0.1	0
11.6	0.707311	0.0486525	0.121064	1.35067	-0.147044	0.185106	1.71384	-0.116044	0.0243646	4.98771	177.528	0.1	0
11.61	0.707964	0.0454226	0.123961	-0.0503115	-0.322982	0.289717	1.29131	-0.121959	0.0287764	4.46167	177.472	0.1	-0.1
11.62	0.702614	0.0433082	0.127415	-0.645675	-0.211448	0.345387	1.25156	-0.126569	0.0315006	3.87855	177.446	0.1	-0.1
11.63	0.692006	0.0421126	0.130621	-1.15872	-0.119554	0.320631	1.12979	-0.129543	0.0334229	3.4071	177.431	0	-0.1
11.64	0.686189	0.042434	0.133185	-0.658383	0.0321332	0.256371	0.839948	-0.131159	0.0349401	3.34065	177.405	-0.1	0
11.65	0.694388	0.0436336	0.135434	0.762861	0.119966	0.224921	0.485702	-0.133418	0.036801	3.77742	177.368	-0.1	0
11.66	0.707079	0.0457806	0.137172	1.17895	0.214702	0.173794	0.745017	-0.135057	0.0385384	4.27421	177.322	-0.1	0
11.67	0.724363	0.0481035	0.139106	1.65231	0.232286	0.193359	0.546312	-0.137292	0.0403814	4.82042	177.268	-0.1	0
11.68	0.744802	0.0511465	0.140301	1.94357	0.304302	0.119509	0.723662	-0.138919	0.042379	5.39535	177.211	-0.1	0.1
11.69	0.76921	0.0535097	0.142091	2.31982	0.236321	0.179076	0.85651	-0.142112	0.0448789	6.09656	177.152	-0.1	0
11.7	0.797331	0.0564397	0.14294	2.69351	0.292994	0.0848949	0.775535	-0.14485	0.0478839	6.74482	177.078	-0.1	0.1
11.71	0.82862	0.0589735	0.144612	2.9723	0.253387	0.167148	1.06879	-0.148919	0.0510491	7.54932	176.992	-0.1	0.1
11.72	0.863044	0.0607905	0.145822	3.26376	0.181697	0.121017	1.20583	-0.153995	0.0554102	8.42101	176.891	-0.1	0
11.73	0.900027	0.0636697	0.145721	3.46687	0.287919	-0.0100955	1.63026	-0.157632	0.0599449	9.19852	176.768	-0.1	0.1
11.74	0.939347	0.0657025	0.146896	3.69983	0.203276	0.117463	1.60241	-0.163299	0.064895	10.1236	176.73	-0.1	0.1
11.75	0.981082	0.0670083	0.147859	3.9362	0.130582	0.0963211	1.59522	-0.170095	0.0709869	11.1291	176.726	-0.1	0
11.76	1.02489	0.0696813	0.147063	4.0808	0.267306	-0.0796348	2.10936	-0.174795	0.0771344	11.9491	176.723	-0.1	0.1
11.77	1.07089	0.071013	0.146571	4.30995	0.133169	-0.0491366	2.02037	-0.180917	0.0849886	13.047	176.685	-0.1	0
11.78	1.11864	0.0726685	0.146049	4.47724	0.165541	-0.0522509	2.07759	-0.186938	0.0929437	13.9876	176.538	-0.1	0.1
11.79	1.16798	0.0730884	0.144711	4.62672	0.0419989	-0.133719	2.16288	-0.192693	0.103335	15.2286	176.351	-0.1	0
11.8	1.21635	0.0745304	0.143396	4.52528	0.144196	-0.131536	2.25761	-0.196034	0.113421	15.8487	176.349	-0.1	0.1
11.81	1.26558	0.0757407	0.143121	4.58031	0.121026	-0.027512	2.55612	-0.202193	0.122936	17.1992	176.483	-0.1	0.1
11.82	1.31642	0.0759211	0.142436	4.74606	0.0180483	-0.068529	2.51073	-0.208206	0.134434	18.3821	176.588	-0.1	0
11.83	1.3684	0.0768019	0.140633	4.84467	0.0880711	-0.1803	2.66803	-0.212228	0.145984	19.2643	176.658	-0.1	0.1
11.84	1.42147	0.0768905	0.139427	4.94316	0.00886619	-0.1206	2.8137	-0.217144	0.158647	20.5988	176.733	-0.1	0
11.85	1.47588	0.0771754	0.137832	5.09954	0.0284903	-0.159508	2.64167	-0.220233	0.171743	21.5459	176.796	-0.1	0
11.86	1.53116	0.078224	0.134956	5.15926	0.104854	-0.28761	2.96921	-0.222686	0.184123	22.6023	176.836	-0.1	0.1
11.87	1.58754	0.0777752	0.132167	5.28253	-0.0448734	-0.278856	2.9499	-0.225139	0.198539	24.036	176.818	0.1	0
11.88	1.62538	0.0755276	0.129386	3.44493	-0.224759	-0.278084	3.07531	-0.224932	0.212905	22.2267	176.706	0.1	0
11.89	1.64638	0.0723471	0.129967	1.78049	-0.318057	0.058122	3.08765	-0.225156	0.226377	20.5938	176.717	0.1	-0.1
11.9	1.65202	0.0692689	0.131835	0.274314	-0.307816	0.186768	2.89952	-0.226228	0.238023	19.1136	176.794	0.1	-0.1
11.91	1.64456	0.0656421	0.133091	-0.982092	-0.362681	0.125594	2.44914	-0.225423	0.248712	17.7592	176.848	0.1	-0.1
11.92	1.63227	0.0622522	0.135545	-1.41553	-0.33899	0.245425	1.97318	-0.225146	0.258571	16.5356	176.856	0.1	-0.1
11.93	1.6155	0.0594823	0.138477	-1.84011	-0.276985	0.293173	1.75031	-0.225403	0.267086	15.4528	176.83	0.1	-0.1
11.94	1.59469	0.0573006	0.141877	-2.22169	-0.218171	0.340004	1.54487	-0.226124	0.274301	14.4809	176.775	-0.1	-0.1
11.95	1.58929	0.0583356	0.144469	-0.691365	0.103497	0.259247	1.43767	-0.227	0.27955	15.1133	176.762	-0.1	0
11.96	1.59809	0.0605193	0.145868	0.7623	0.218372	0.139804	0.94836	-0.227398	0.285475	16.0135	176.773	-0.1	0
11.97	1.61173	0.0640596	0.147077	1.19774	0.354023	0.120966	1.3114	-0.228095	0.29042	16.9883	176.782	-0.1	0.1
11.98	1.6301	0.0667811	0.14812	1.66715	0.27215	0.104283	1.27949	-0.228973	0.297164	18.0981	176.77	-0.1	0
11.99	1.65269	0.0705159	0.147893	2.06055	0.373483	-0.0226751	1.46268	-0.228589	0.303316	19.1246	176.731	-0.1	0.1
12	1.67907	0.0736054	0.148358	2.41999	0.30895	0.0464857	1.58691	-0.229193	0.310972	20.3645	176.695	-0.1	0.1
12.01	1.7089	0.0761821	0.149071	2.748	0.257668	0.0712439	1.68249	-0.230061	0.319935	21.6345	176.658	-0.1	0.1
12.02	1.74205	0.0783007	0.149288	3.06251	0.211862	0.0217766	1.7811	-0.230649	0.330096	22.9417	176.625	-0.1	0.1
