# t	yaw	pitch	roll	yaw_velocity	pitch_velocity	roll_velocity	wheel_velocity	T	V	drive_imp	wheel_imp
0.045	0.0319142	-4.0733e-05	0.0325995	0.00655355	-0.00179306	0	0.00465671	7.89758e-05	178.748	0	0
0.046	0.0318827	-4.25771e-05	0.0326013	-0.0315285	-0.00184412	0.00182912	0.00478557	6.71665e-05	178.748	0	0
0.047	0.0318895	-4.4447e-05	0.0326013	0.00679099	-0.00186992	0	0.00485684	8.17771e-05	178.748	0	0
0.048	0.0318582	-4.63519e-05	0.0326013	-0.0312933	-0.00190484	0	0.00494889	5.68897e-05	178.747	0	0
0.049	0.0318652	-4.83088e-05	0.0326013	0.00702412	-0.00195692	0	0.00507964	7.84243e-05	178.748	0	0
0.05	0.0318342	-5.02981e-05	0.0326013	-0.0310625	-0.00198928	0	0.00516489	4.22612e-05	178.747	0	0
0.051	0.0318414	-5.23249e-05	0.0326013	0.00725249	-0.00202687	0	0.00526342	0.000101885	178.747	0	0
0.052	0.0318106	-5.44062e-05	0.0326013	-0.0308363	-0.00208129	0	0.00539907	3.71637e-05	178.747	0	0
0.053	0.0318181	-5.65198e-05	0.0326013	0.00747669	-0.00211356	0	0.00548522	8.18311e-05	178.747	0	0
0.054	0.0317875	-5.86833e-05	0.0326013	-0.030614	-0.00216354	0	0.00561188	3.85698e-05	178.747	0	0
0.055	0.0317952	-6.08971e-05	0.0326013	0.00769693	-0.00221381	0	0.00573816	0.000131822	178.748	0	0
0.056	0.0317647	-6.31549e-05	0.0326013	-0.0303959	-0.00225774	0	0.00585117	0.000104765	178.748	0	0
0.057	0.0317727	-6.54516e-05	0.0326013	0.00791296	-0.00229672	0	0.00595181	0.000123655	178.748	0	0
0.058	0.0317425	-6.77721e-05	0.0326013	-0.030182	-0.00232048	0	0.0060183	4.27469e-05	178.748	0	0
0.059	0.0317506	-7.01276e-05	0.0326013	0.00812466	-0.00235556	0	0.00611081	0.000124054	178.748	0	0
0.06	0.0317206	-7.25374e-05	0.0326013	-0.0299723	-0.00240972	0	0.00624651	3.49858e-05	178.748	0	0
0.061	0.031729	-7.49823e-05	0.0326013	0.00833227	-0.00244489	0	0.00633991	0.000103012	178.748	0	0
0.062	0.0316992	-7.74693e-05	0.0326013	-0.0297668	-0.00248705	0	0.00644797	7.38055e-05	178.747	0	0
0.063	0.0317077	-7.99961e-05	0.0326031	0.00853593	-0.00252677	0.00182912	0.00654914	0.000113042	178.747	0	0
0.064	0.0316782	-8.25627e-05	0.0326031	-0.029565	-0.00256659	0	0.00665047	6.30233e-05	178.747	0	0
0.065	0.0316869	-8.51708e-05	0.0326031	0.00873589	-0.00260818	0	0.00675751	9.57296e-05	178.747	0	0
0.066	0.0316575	-8.7821e-05	0.0326031	-0.029367	-0.00265016	0	0.0068638	4.8605e-05	178.746	0	0
0.067	0.0316665	-9.05153e-05	0.0326031	0.00893203	-0.00269434	0	0.00697809	8.46996e-05	178.746	0	0
0.068	0.0316373	-9.32184e-05	0.0326031	-0.0291727	-0.00270308	0	0.00698803	4.10247e-05	178.746	0	0
0.069	0.0316464	-9.59619e-05	0.032605	0.00912439	-0.00274348	0.00182912	0.00710362	7.96578e-05	178.746	0	0
0.07	0.0316174	-9.87509e-05	0.032605	-0.0289821	-0.00278897	0	0.00721918	3.99437e-05	178.746	0	0
0.071	0.0316268	-0.000101585	0.032605	0.0093131	-0.00283443	0	0.00733581	7.87711e-05	178.746	0	0
0.072	0.031598	-0.000104482	0.032605	-0.0287953	-0.00289711	0	0.00749055	9.50643e-05	178.746	0	0
0.073	0.0316075	-0.00010741	0.032605	0.0094983	-0.00292742	0	0.00757009	8.24083e-05	178.747	0	0
0.074	0.0315788	-0.000110375	0.032605	-0.0286118	-0.0029651	0	0.00766736	4.10979e-05	178.746	0	0
0.075	0.0315885	-0.000113394	0.032605	0.00967986	-0.00301911	0	0.00780296	0.000111513	178.747	0	0
0.076	0.0315601	-0.000116393	0.032605	-0.028432	-0.00299884	0	0.00773578	4.15691e-05	178.747	0	0
0.077	0.03157	-0.000119355	0.032605	0.00985806	-0.00296258	0	0.00764411	9.81794e-05	178.747	0	0
0.078	0.0315417	-0.000122283	0.032605	-0.0282555	-0.00292722	0	0.00755344	0.000116734	178.747	0	0
