# RNG_SEED = 1296062363
# FITNESS = 99.9998
# 
# INPUT_SIZE     = 2
# HIDDEN_SIZE    = 5
# OUTPUT_SIZE    = 1
# ELITISM        = 0.2
# CROSSOVER_PROB = 0.4
# MUTATION_PROB  = 0.9
# MUTATION_RATE  = 0.0666667
# MUTATION_SIZE  = 5
# NUM_RUNS       = 3
# BANG_SIZE      = 1
# MAX_EVAL_TIME  = 100
# SCORE_ANG      = 0.1309
# 
# digraph brain {
#   splines=false; nodesep=1; ranksep="1.5 equally"; rankdir=LR;
#   I0 -> H0 [headlabel=0.49,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H1 [headlabel=-8.48,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H2 [headlabel=14.5,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H3 [headlabel=-17,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H4 [headlabel=-6.27,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I1 -> H0 [headlabel=-2.28,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H1 [headlabel=6.88,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H2 [headlabel=8.37,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H3 [headlabel=-2.53,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H4 [headlabel=0.911,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   H0 -> O0 [headlabel=-5.04,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   H1 -> O0 [headlabel=-3.45,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   H2 -> O0 [headlabel=-14.5,color="#2ca02c",fontcolor="#2ca02c",fontsize=10,labeldistance=3];
#   H3 -> O0 [headlabel=-0.992,color="#d62728",fontcolor="#d62728",fontsize=10,labeldistance=3];
#   H4 -> O0 [headlabel=6.63,color="#9467bd",fontcolor="#9467bd",fontsize=10,labeldistance=3];
#   { rank=same; I0 I1 }
#   { rank=same; H0 H1 H2 H3 H4 }
#   { rank=same; O0 }
# }
# t	theta	thetadot	torque	fitness
20.5	0.00083	-0.000576	0	20.5
20.5	0.000825	-0.000495	0	20.5
20.5	0.00082	-0.000414	0	20.5
20.6	0.000816	-0.000334	0	20.5
20.6	0.000813	-0.000254	0	20.5
20.6	0.000811	-0.000174	0	20.6
20.6	0.00081	-9.46e-05	0	20.6
20.6	0.000809	-1.52e-05	0	20.6
20.6	0.00081	6.42e-05	0	20.6
20.6	0.000811	0.000144	0	20.6
20.6	0.000812	0.000223	0	20.6
20.6	0.000815	0.000303	0	20.6
20.6	0.000819	0.000383	0	20.6
20.7	0.000823	0.000464	0	20.6
20.7	0.000828	0.000545	0	20.6
20.7	0.000834	0.000626	0	20.7
20.7	0.00084	0.000708	0	20.7
20.7	0.000848	0.000791	0	20.7
20.7	0.000856	0.000875	0	20.7
20.7	0.000865	0.000959	0	20.7
20.7	0.000875	0.00104	0	20.7
20.7	0.000886	0.00113	0	20.7
20.7	0.000898	0.00122	0	20.7
20.8	0.000911	0.00131	0	20.7
20.8	0.000924	0.0014	0	20.7
20.8	0.000939	0.00149	0	20.8
20.8	0.000954	0.00158	0	20.8
20.8	0.00097	0.00168	0	20.8
20.8	0.000987	0.00177	0	20.8
20.8	0.00101	0.00187	0	20.8
20.8	0.00102	0.00197	0	20.8
20.8	0.00105	0.00207	0	20.8
20.8	0.00107	0.00217	0	20.8
20.9	0.00109	0.00228	0	20.8
20.9	0.00111	0.00239	0	20.8
20.9	0.00114	0.0025	0	20.9
20.9	0.00116	0.00261	0	20.9
20.9	0.00119	0.00273	0	20.9
20.9	0.00122	0.00284	0	20.9
20.9	0.00125	0.00296	0	20.9
20.9	0.00128	0.00309	0	20.9
20.9	0.00131	0.00321	0	20.9
20.9	0.00134	0.00334	0	20.9
21	0.00137	0.00348	0	20.9
21	0.00141	0.00361	0	20.9
21	0.00145	0.00375	0	21
21	0.00148	0.0039	0	21
21	0.00152	0.00405	0	21
21	0.00157	0.0042	0	21
21	0.00161	0.00435	0	21
21	0.00165	0.00451	0	21
21	0.0017	0.00468	0	21
21	0.00175	0.00485	0	21
21.1	0.0018	0.00502	0	21
21.1	0.0018	-0.0048	-1	21
21.1	0.00175	-0.00463	0	21.1
21.1	0.0017	-0.00446	0	21.1
21.1	0.00166	-0.00429	0	21.1
21.1	0.00162	-0.00413	0	21.1
21.1	0.00158	-0.00398	0	21.1
21.1	0.00154	-0.00382	0	21.1
21.1	0.0015	-0.00368	0	21.1
21.1	0.00147	-0.00353	0	21.1
21.2	0.00143	-0.00339	0	21.1
21.2	0.0014	-0.00325	0	21.1
21.2	0.00137	-0.00311	0	21.2
21.2	0.00133	-0.00298	0	21.2
21.2	0.00131	-0.00285	0	21.2
21.2	0.00128	-0.00272	0	21.2
21.2	0.00125	-0.0026	0	21.2
21.2	0.00123	-0.00248	0	21.2
21.2	0.0012	-0.00236	0	21.2
21.2	0.00118	-0.00224	0	21.2
21.3	0.00116	-0.00213	0	21.2
21.3	0.00114	-0.00202	0	21.2
21.3	0.00112	-0.00191	0	21.3
21.3	0.0011	-0.0018	0	21.3
21.3	0.00108	-0.00169	0	21.3
21.3	0.00106	-0.00159	0	21.3
21.3	0.00105	-0.00148	0	21.3
21.3	0.00103	-0.00138	0	21.3
21.3	0.00102	-0.00128	0	21.3
21.3	0.00101	-0.00118	0	21.3
21.4	0.000998	-0.00108	0	21.3
21.4	0.000987	-0.000984	0	21.3
21.4	0.000978	-0.000887	0	21.4
21.4	0.00097	-0.000792	0	21.4
21.4	0.000962	-0.000697	0	21.4
21.4	0.000956	-0.000603	0	21.4
21.4	0.00095	-0.000509	0	21.4
21.4	0.000945	-0.000416	0	21.4
21.4	0.000942	-0.000324	0	21.4
21.4	0.000939	-0.000232	0	21.4
21.5	0.000937	-0.00014	0	21.4
21.5	0.000936	-4.77e-05	0	21.4
21.5	0.000936	4.41e-05	0	21.5
21.5	0.000937	0.000136	0	21.5
21.5	0.000939	0.000228	0	21.5
21.5	0.000942	0.00032	0	21.5
21.5	0.000945	0.000413	0	21.5
21.5	0.00095	0.000506	0	21.5
21.5	0.000955	0.000599	0	21.5
21.5	0.000962	0.000693	0	21.5
21.6	0.000969	0.000788	0	21.5
21.6	0.000978	0.000883	0	21.5
21.6	0.000987	0.00098	0	21.6
21.6	0.000997	0.00108	0	21.6
21.6	0.00101	0.00118	0	21.6
21.6	0.00102	0.00127	0	21.6
21.6	0.00103	0.00138	0	21.6
21.6	0.00105	0.00148	0	21.6
21.6	0.00106	0.00158	0	21.6
21.6	0.00108	0.00169	0	21.6
21.7	0.0011	0.00179	0	21.6
21.7	0.00112	0.0019	0	21.6
21.7	0.00114	0.00201	0	21.7
21.7	0.00116	0.00212	0	21.7
21.7	0.00118	0.00224	0	21.7
21.7	0.0012	0.00236	0	21.7
21.7	0.00122	0.00247	0	21.7
21.7	0.00125	0.0026	0	21.7
21.7	0.00128	0.00272	0	21.7
21.7	0.0013	0.00285	0	21.7
21.8	0.00133	0.00298	0	21.7
21.8	0.00136	0.00311	0	21.7
21.8	0.0014	0.00324	0	21.8
21.8	0.00143	0.00338	0	21.8
21.8	0.00146	0.00352	0	21.8
21.8	0.0015	0.00367	0	21.8
21.8	0.00154	0.00382	0	21.8
21.8	0.00158	0.00397	0	21.8
21.8	0.00162	0.00413	0	21.8
21.8	0.00166	0.00429	0	21.8
21.9	0.0017	0.00445	0	21.8
21.9	0.00175	0.00462	0	21.8
21.9	0.00179	0.0048	0	21.9
21.9	0.00179	-0.00503	-1	21.9
21.9	0.00174	-0.00485	0	21.9
21.9	0.0017	-0.00468	0	21.9
21.9	0.00165	-0.00452	0	21.9
21.9	0.00161	-0.00436	0	21.9
21.9	0.00156	-0.00421	0	21.9
21.9	0.00152	-0.00405	0	21.9
22	0.00148	-0.00391	0	21.9
22	0.00144	-0.00376	0	21.9
22	0.00141	-0.00362	0	22
22	0.00137	-0.00349	0	22
22	0.00134	-0.00335	0	22
22	0.0013	-0.00322	0	22
22	0.00127	-0.0031	0	22
22	0.00124	-0.00298	0	22
22	0.00121	-0.00285	0	22
22	0.00119	-0.00274	0	22
22.1	0.00116	-0.00262	0	22
22.1	0.00113	-0.00251	0	22
22.1	0.00111	-0.0024	0	22.1
22.1	0.00108	-0.00229	0	22.1
22.1	0.00106	-0.00219	0	22.1
22.1	0.00104	-0.00208	0	22.1
22.1	0.00102	-0.00198	0	22.1
22.1	0.001	-0.00188	0	22.1
22.1	0.000983	-0.00179	0	22.1
22.1	0.000966	-0.00169	0	22.1
22.2	0.000949	-0.0016	0	22.1
22.2	0.000934	-0.0015	0	22.1
22.2	0.000919	-0.00141	0	22.2
22.2	0.000905	-0.00132	0	22.2
22.2	0.000892	-0.00124	0	22.2
22.2	0.000881	-0.00115	0	22.2
22.2	0.00087	-0.00106	0	22.2
22.2	0.000859	-0.000978	0	22.2
22.2	0.00085	-0.000895	0	22.2
22.2	0.000841	-0.000812	0	22.2
22.3	0.000834	-0.000729	0	22.2
22.3	0.000827	-0.000648	0	22.2
22.3	0.000821	-0.000567	0	22.3
22.3	0.000815	-0.000487	0	22.3
22.3	0.000811	-0.000407	0	22.3
22.3	0.000807	-0.000328	0	22.3
22.3	0.000804	-0.000249	0	22.3
22.3	0.000802	-0.00017	0	22.3
22.3	0.000801	-9.13e-05	0	22.3
22.3	0.000801	-1.28e-05	0	22.3
22.4	0.000801	6.58e-05	0	22.3
22.4	0.000802	0.000144	0	22.3
22.4	0.000804	0.000223	0	22.4
22.4	0.000806	0.000302	0	22.4
22.4	0.00081	0.000381	0	22.4
22.4	0.000814	0.000461	0	22.4
22.4	0.000819	0.000541	0	22.4
22.4	0.000825	0.000622	0	22.4
22.4	0.000831	0.000703	0	22.4
22.4	0.000839	0.000785	0	22.4
22.5	0.000847	0.000867	0	22.4
22.5	0.000856	0.000951	0	22.4
22.5	0.000866	0.00104	0	22.5
22.5	0.000877	0.00112	0	22.5
22.5	0.000889	0.00121	0	22.5
22.5	0.000901	0.0013	0	22.5
22.5	0.000914	0.00138	0	22.5
22.5	0.000929	0.00147	0	22.5
22.5	0.000944	0.00157	0	22.5
22.5	0.00096	0.00166	0	22.5
22.6	0.000977	0.00176	0	22.5
22.6	0.000995	0.00185	0	22.5
22.6	0.00101	0.00195	0	22.6
22.6	0.00103	0.00205	0	22.6
22.6	0.00106	0.00215	0	22.6
22.6	0.00108	0.00226	0	22.6
22.6	0.0011	0.00236	0	22.6
22.6	0.00112	0.00247	0	22.6
22.6	0.00115	0.00259	0	22.6
22.6	0.00118	0.0027	0	22.6
22.7	0.0012	0.00282	0	22.6
22.7	0.00123	0.00294	0	22.6
22.7	0.00126	0.00306	0	22.7
22.7	0.00129	0.00318	0	22.7
22.7	0.00133	0.00331	0	22.7
22.7	0.00136	0.00344	0	22.7
22.7	0.0014	0.00358	0	22.7
22.7	0.00143	0.00372	0	22.7
22.7	0.00147	0.00386	0	22.7
22.7	0.00151	0.00401	0	22.7
22.8	0.00155	0.00416	0	22.7
22.8	0.00159	0.00431	0	22.7
22.8	0.00164	0.00447	0	22.8
22.8	0.00168	0.00463	0	22.8
22.8	0.00173	0.0048	0	22.8
22.8	0.00178	0.00497	0	22.8
22.8	0.00178	-0.00485	-1	22.8
22.8	0.00173	-0.00468	0	22.8
22.8	0.00168	-0.00452	0	22.8
22.8	0.00164	-0.00435	0	22.8
22.9	0.0016	-0.00419	0	22.8
22.9	0.00156	-0.00404	0	22.8
22.9	0.00152	-0.00389	0	22.9
22.9	0.00148	-0.00374	0	22.9
22.9	0.00144	-0.0036	0	22.9
22.9	0.00141	-0.00346	0	22.9
22.9	0.00137	-0.00332	0	22.9
22.9	0.00134	-0.00319	0	22.9
22.9	0.00131	-0.00306	0	22.9
22.9	0.00128	-0.00293	0	22.9
23	0.00125	-0.00281	0	22.9
23	0.00122	-0.00269	0	22.9
23	0.0012	-0.00257	0	23
23	0.00117	-0.00245	0	23
23	0.00115	-0.00234	0	23
23	0.00112	-0.00223	0	23
23	0.0011	-0.00212	0	23
23	0.00108	-0.00201	0	23
23	0.00106	-0.00191	0	23
23	0.00104	-0.0018	0	23
23.1	0.00103	-0.0017	0	23
23.1	0.00101	-0.0016	0	23
23.1	0.000994	-0.0015	0	23.1
23.1	0.00098	-0.00141	0	23.1
23.1	0.000966	-0.00131	0	23.1
23.1	0.000953	-0.00122	0	23.1
23.1	0.000942	-0.00112	0	23.1
23.1	0.000931	-0.00103	0	23.1
23.1	0.000921	-0.000941	0	23.1
23.1	0.000912	-0.000851	0	23.1
23.2	0.000904	-0.000762	0	23.1
23.2	0.000897	-0.000673	0	23.1
23.2	0.000891	-0.000586	0	23.2
23.2	0.000885	-0.000499	0	23.2
23.2	0.000881	-0.000412	0	23.2
23.2	0.000877	-0.000326	0	23.2
23.2	0.000874	-0.00024	0	23.2
23.2	0.000872	-0.000154	0	23.2
23.2	0.000871	-6.88e-05	0	23.2
23.2	0.000871	1.67e-05	0	23.2
23.3	0.000871	0.000102	0	23.2
23.3	0.000873	0.000188	0	23.2
23.3	0.000875	0.000273	0	23.3
23.3	0.000878	0.000359	0	23.3
23.3	0.000882	0.000446	0	23.3
23.3	0.000887	0.000533	0	23.3
23.3	0.000893	0.00062	0	23.3
23.3	0.0009	0.000708	0	23.3
23.3	0.000907	0.000796	0	23.3
23.3	0.000916	0.000886	0	23.3
23.4	0.000925	0.000976	0	23.3
23.4	0.000935	0.00107	0	23.3
23.4	0.000946	0.00116	0	23.4
23.4	0.000958	0.00125	0	23.4
23.4	0.000971	0.00135	0	23.4
23.4	0.000985	0.00144	0	23.4
23.4	0.001	0.00154	0	23.4
23.4	0.00102	0.00164	0	23.4
23.4	0.00103	0.00174	0	23.4
23.4	0.00105	0.00184	0	23.4
23.5	0.00107	0.00195	0	23.4
23.5	0.00109	0.00205	0	23.4
23.5	0.00111	0.00216	0	23.5
23.5	0.00113	0.00227	0	23.5
23.5	0.00116	0.00238	0	23.5
23.5	0.00118	0.0025	0	23.5
23.5	0.00121	0.00261	0	23.5
23.5	0.00123	0.00273	0	23.5
23.5	0.00126	0.00286	0	23.5
23.5	0.00129	0.00298	0	23.5
23.6	0.00132	0.00311	0	23.5
23.6	0.00135	0.00324	0	23.5
23.6	0.00139	0.00337	0	23.6
23.6	0.00142	0.00351	0	23.6
23.6	0.00146	0.00365	0	23.6
23.6	0.00149	0.0038	0	23.6
23.6	0.00153	0.00395	0	23.6
23.6	0.00157	0.0041	0	23.6
23.6	0.00161	0.00425	0	23.6
23.6	0.00166	0.00442	0	23.6
23.7	0.0017	0.00458	0	23.6
23.7	0.00175	0.00475	0	23.6
23.7	0.0018	0.00492	0	23.7
23.7	0.0018	-0.0049	-1	23.7
23.7	0.00175	-0.00473	0	23.7
23.7	0.0017	-0.00456	0	23.7
23.7	0.00166	-0.00439	0	23.7
23.7	0.00161	-0.00423	0	23.7
23.7	0.00157	-0.00407	0	23.7
23.7	0.00153	-0.00392	0	23.7
23.8	0.00149	-0.00377	0	23.7
23.8	0.00146	-0.00363	0	23.7
23.8	0.00142	-0.00349	0	23.8
23.8	0.00139	-0.00335	0	23.8
23.8	0.00136	-0.00322	0	23.8
23.8	0.00132	-0.00308	0	23.8
23.8	0.00129	-0.00296	0	23.8
23.8	0.00126	-0.00283	0	23.8
23.8	0.00124	-0.00271	0	23.8
23.8	0.00121	-0.00259	0	23.8
23.9	0.00119	-0.00247	0	23.8
23.9	0.00116	-0.00236	0	23.8
23.9	0.00114	-0.00224	0	23.9
23.9	0.00112	-0.00213	0	23.9
23.9	0.0011	-0.00202	0	23.9
23.9	0.00108	-0.00192	0	23.9
23.9	0.00106	-0.00181	0	23.9
23.9	0.00104	-0.00171	0	23.9
23.9	0.00102	-0.00161	0	23.9
23.9	0.00101	-0.00151	0	23.9
24	0.000993	-0.00141	0	23.9
24	0.000979	-0.00131	0	23.9
24	0.000966	-0.00122	0	24
24	0.000955	-0.00112	0	24
24	0.000944	-0.00103	0	24
24	0.000934	-0.000939	0	24
24	0.000925	-0.000848	0	24
24	0.000917	-0.000758	0	24
24	0.00091	-0.000668	0	24
24	0.000904	-0.000579	0	24
24.1	0.000898	-0.000491	0	24
24.1	0.000894	-0.000403	0	24
24.1	0.00089	-0.000315	0	24.1
24.1	0.000887	-0.000228	0	24.1
24.1	0.000886	-0.000141	0	24.1
24.1	0.000885	-5.45e-05	0	24.1
24.1	0.000885	3.23e-05	0	24.1
24.1	0.000885	0.000119	0	24.1
24.1	0.000887	0.000206	0	24.1
24.1	0.000889	0.000293	0	24.1
24.2	0.000893	0.000381	0	24.1
24.2	0.000897	0.000468	0	24.1
24.2	0.000902	0.000557	0	24.2
24.2	0.000908	0.000645	0	24.2
24.2	0.000915	0.000735	0	24.2
24.2	0.000923	0.000825	0	24.2
24.2	0.000932	0.000916	0	24.2
24.2	0.000941	0.00101	0	24.2
24.2	0.000952	0.0011	0	24.2
24.2	0.000963	0.00119	0	24.2
24.3	0.000976	0.00129	0	24.2
24.3	0.000989	0.00139	0	24.2
24.3	0.001	0.00148	0	24.3
24.3	0.00102	0.00158	0	24.3
24.3	0.00103	0.00168	0	24.3
24.3	0.00105	0.00179	0	24.3
24.3	0.00107	0.00189	0	24.3
24.3	0.00109	0.002	0	24.3
24.3	0.00111	0.0021	0	24.3
24.3	0.00113	0.00221	0	24.3
24.4	0.00115	0.00233	0	24.3
24.4	0.00118	0.00244	0	24.3
24.4	0.0012	0.00256	0	24.4
24.4	0.00123	0.00268	0	24.4
24.4	0.00126	0.0028	0	24.4
24.4	0.00129	0.00292	0	24.4
24.4	0.00132	0.00305	0	24.4
24.4	0.00135	0.00318	0	24.4
24.4	0.00138	0.00332	0	24.4
24.4	0.00141	0.00345	0	24.4
24.5	0.00145	0.00359	0	24.4
24.5	0.00149	0.00374	0	24.4
24.5	0.00152	0.00388	0	24.5
24.5	0.00156	0.00404	0	24.5
24.5	0.0016	0.00419	0	24.5
24.5	0.00165	0.00435	0	24.5
24.5	0.00169	0.00451	0	24.5
24.5	0.00174	0.00468	0	24.5
24.5	0.00178	0.00485	0	24.5
24.5	0.00178	-0.00497	-1	24.5
24.6	0.00174	-0.0048	0	24.5
24.6	0.00169	-0.00463	0	24.5
24.6	0.00164	-0.00447	0	24.6
24.6	0.0016	-0.00431	0	24.6
24.6	0.00156	-0.00415	0	24.6
24.6	0.00152	-0.004	0	24.6
24.6	0.00148	-0.00385	0	24.6
24.6	0.00144	-0.00371	0	24.6
24.6	0.0014	-0.00357	0	24.6
24.6	0.00137	-0.00344	0	24.6
24.7	0.00133	-0.0033	0	24.6
24.7	0.0013	-0.00317	0	24.6
24.7	0.00127	-0.00305	0	24.7
24.7	0.00124	-0.00293	0	24.7
24.7	0.00121	-0.00281	0	24.7
24.7	0.00118	-0.00269	0	24.7
24.7	0.00116	-0.00257	0	24.7
24.7	0.00113	-0.00246	0	24.7
24.7	0.00111	-0.00235	0	24.7
24.7	0.00109	-0.00224	0	24.7
24.8	0.00106	-0.00214	0	24.7
24.8	0.00104	-0.00203	0	24.7
24.8	0.00102	-0.00193	0	24.8
24.8	0.001	-0.00183	0	24.8
24.8	0.000986	-0.00174	0	24.8
24.8	0.000969	-0.00164	0	24.8
24.8	0.000953	-0.00155	0	24.8
24.8	0.000938	-0.00145	0	24.8
24.8	0.000924	-0.00136	0	24.8
24.8	0.000911	-0.00127	0	24.8
24.9	0.000899	-0.00118	0	24.8
24.9	0.000888	-0.0011	0	24.8
24.9	0.000877	-0.00101	0	24.9
24.9	0.000867	-0.000923	0	24.9
24.9	0.000859	-0.000838	0	24.9
24.9	0.000851	-0.000755	0	24.9
24.9	0.000843	-0.000671	0	24.9
24.9	0.000837	-0.000589	0	24.9
24.9	0.000832	-0.000507	0	24.9
24.9	0.000827	-0.000426	0	24.9
25	0.000823	-0.000345	0	24.9
25	0.00082	-0.000264	0	24.9
25	0.000818	-0.000184	0	25
25	0.000816	-0.000104	0	25
25	0.000816	-2.37e-05	0	25
25	0.000816	5.63e-05	0	25
25	0.000817	0.000136	0	25
25	0.000819	0.000217	0	25
25	0.000821	0.000297	0	25
25	0.000825	0.000378	0	25
25.1	0.000829	0.000459	0	25
25.1	0.000834	0.00054	0	25
25.1	0.00084	0.000623	0	25.1
25.1	0.000846	0.000705	0	25.1
25.1	0.000854	0.000789	0	25.1
25.1	0.000862	0.000873	0	25.1
25.1	0.000871	0.000958	0	25.1
25.1	0.000881	0.00104	0	25.1
25.1	0.000892	0.00113	0	25.1
25.1	0.000904	0.00122	0	25.1
25.2	0.000916	0.00131	0	25.1
25.2	0.00093	0.0014	0	25.1
25.2	0.000944	0.00149	0	25.2
25.2	0.00096	0.00158	0	25.2
25.2	0.000976	0.00168	0	25.2
25.2	0.000993	0.00178	0	25.2
25.2	0.00101	0.00187	0	25.2
25.2	0.00103	0.00197	0	25.2
25.2	0.00105	0.00208	0	25.2
25.2	0.00107	0.00218	0	25.2
25.3	0.00109	0.00229	0	25.2
25.3	0.00112	0.0024	0	25.2
25.3	0.00114	0.00251	0	25.3
25.3	0.00117	0.00262	0	25.3
25.3	0.0012	0.00274	0	25.3
25.3	0.00122	0.00285	0	25.3
25.3	0.00125	0.00298	0	25.3
25.3	0.00128	0.0031	0	25.3
25.3	0.00131	0.00323	0	25.3
25.3	0.00135	0.00336	0	25.3
25.4	0.00138	0.00349	0	25.3
25.4	0.00142	0.00363	0	25.3
25.4	0.00145	0.00377	0	25.4
25.4	0.00149	0.00391	0	25.4
25.4	0.00153	0.00406	0	25.4
25.4	0.00157	0.00421	0	25.4
25.4	0.00162	0.00437	0	25.4
25.4	0.00166	0.00453	0	25.4
25.4	0.00171	0.0047	0	25.4
25.4	0.00175	0.00487	0	25.4
25.5	0.00175	-0.00496	-1	25.4
25.5	0.00171	-0.00479	0	25.4
25.5	0.00166	-0.00463	0	25.5
25.5	0.00161	-0.00447	0	25.5
25.5	0.00157	-0.00431	0	25.5
25.5	0.00153	-0.00416	0	25.5
25.5	0.00149	-0.00401	0	25.5
25.5	0.00145	-0.00387	0	25.5
25.5	0.00141	-0.00373	0	25.5
25.5	0.00137	-0.00359	0	25.5
25.6	0.00134	-0.00346	0	25.5
25.6	0.0013	-0.00333	0	25.5
25.6	0.00127	-0.0032	0	25.6
25.6	0.00124	-0.00308	0	25.6
25.6	0.00121	-0.00296	0	25.6
25.6	0.00118	-0.00284	0	25.6
25.6	0.00115	-0.00273	0	25.6
25.6	0.00113	-0.00261	0	25.6
25.6	0.0011	-0.00251	0	25.6
25.6	0.00108	-0.0024	0	25.6
25.7	0.00105	-0.00229	0	25.6
25.7	0.00103	-0.00219	0	25.6
25.7	0.00101	-0.00209	0	25.7
25.7	0.000987	-0.00199	0	25.7
25.7	0.000968	-0.0019	0	25.7
25.7	0.000949	-0.0018	0	25.7
25.7	0.000932	-0.00171	0	25.7
25.7	0.000915	-0.00162	0	25.7
25.7	0.000899	-0.00153	0	25.7
25.7	0.000885	-0.00145	0	25.7
25.8	0.000871	-0.00136	0	25.7
25.8	0.000857	-0.00127	0	25.7
25.8	0.000845	-0.00119	0	25.8
25.8	0.000834	-0.00111	0	25.8
25.8	0.000823	-0.00103	0	25.8
25.8	0.000813	-0.000947	0	25.8
25.8	0.000804	-0.000868	0	25.8
25.8	0.000796	-0.000789	0	25.8
25.8	0.000788	-0.000712	0	25.8
25.8	0.000781	-0.000635	0	25.8
25.9	0.000775	-0.000558	0	25.8
25.9	0.00077	-0.000482	0	25.8
25.9	0.000766	-0.000407	0	25.9
25.9	0.000762	-0.000332	0	25.9
25.9	0.000759	-0.000258	0	25.9
25.9	0.000757	-0.000183	0	25.9
25.9	0.000756	-0.000109	0	25.9
25.9	0.000755	-3.49e-05	0	25.9
25.9	0.000755	3.91e-05	0	25.9
25.9	0.000756	0.000113	0	25.9
26	0.000757	0.000187	0	25.9
26	0.000759	0.000262	0	25.9
26	0.000762	0.000336	0	26
26	0.000766	0.000411	0	26
26	0.000771	0.000487	0	26
26	0.000776	0.000563	0	26
26	0.000782	0.000639	0	26
26	0.000789	0.000716	0	26
26	0.000796	0.000794	0	26
26	0.000804	0.000872	0	26
26.1	0.000814	0.000952	0	26
26.1	0.000823	0.00103	0	26
26.1	0.000834	0.00111	0	26.1
26.1	0.000846	0.0012	0	26.1
26.1	0.000858	0.00128	0	26.1
26.1	0.000871	0.00136	0	26.1
26.1	0.000885	0.00145	0	26.1
26.1	0.0009	0.00154	0	26.1
26.1	0.000916	0.00163	0	26.1
26.1	0.000933	0.00172	0	26.1
26.2	0.000951	0.00181	0	26.1
26.2	0.000969	0.0019	0	26.1
26.2	0.000989	0.002	0	26.2
26.2	0.00101	0.0021	0	26.2
26.2	0.00103	0.0022	0	26.2
26.2	0.00105	0.0023	0	26.2
26.2	0.00108	0.0024	0	26.2
26.2	0.0011	0.00251	0	26.2
26.2	0.00113	0.00262	0	26.2
26.2	0.00115	0.00273	0	26.2
26.3	0.00118	0.00285	0	26.2
26.3	0.00121	0.00296	0	26.2
26.3	0.00124	0.00308	0	26.3
26.3	0.00127	0.00321	0	26.3
26.3	0.0013	0.00333	0	26.3
26.3	0.00134	0.00346	0	26.3
26.3	0.00137	0.0036	0	26.3
26.3	0.00141	0.00373	0	26.3
26.3	0.00145	0.00387	0	26.3
26.3	0.00149	0.00402	0	26.3
26.4	0.00153	0.00417	0	26.3
26.4	0.00157	0.00432	0	26.3
26.4	0.00162	0.00447	0	26.4
26.4	0.00166	0.00464	0	26.4
26.4	0.00171	0.0048	0	26.4
26.4	0.00176	0.00497	0	26.4
26.4	0.00176	-0.00486	-1	26.4
26.4	0.00171	-0.00469	0	26.4
26.4	0.00166	-0.00452	0	26.4
26.4	0.00162	-0.00436	0	26.4
26.5	0.00158	-0.0042	0	26.4
26.5	0.00154	-0.00405	0	26.4
26.5	0.0015	-0.0039	0	26.5
26.5	0.00146	-0.00376	0	26.5
26.5	0.00142	-0.00362	0	26.5
26.5	0.00139	-0.00348	0	26.5
26.5	0.00135	-0.00334	0	26.5
26.5	0.00132	-0.00321	0	26.5
26.5	0.00129	-0.00308	0	26.5
26.5	0.00126	-0.00296	0	26.5
26.6	0.00123	-0.00284	0	26.5
26.6	0.0012	-0.00272	0	26.5
26.6	0.00117	-0.0026	0	26.6
26.6	0.00115	-0.00249	0	26.6
26.6	0.00112	-0.00238	0	26.6
26.6	0.0011	-0.00227	0	26.6
26.6	0.00108	-0.00216	0	26.6
26.6	0.00106	-0.00206	0	26.6
26.6	0.00104	-0.00195	0	26.6
26.6	0.00102	-0.00185	0	26.6
26.7	0.001	-0.00175	0	26.6
26.7	0.000983	-0.00166	0	26.6
26.7	0.000967	-0.00156	0	26.7
26.7	0.000952	-0.00147	0	26.7
26.7	0.000937	-0.00138	0	26.7
26.7	0.000924	-0.00128	0	26.7
26.7	0.000912	-0.00119	0	26.7
26.7	0.0009	-0.0011	0	26.7
26.7	0.00089	-0.00102	0	26.7
26.7	0.00088	-0.00093	0	26.7
26.8	0.000871	-0.000844	0	26.7
26.8	0.000863	-0.000759	0	26.7
26.8	0.000856	-0.000675	0	26.8
26.8	0.000849	-0.000591	0	26.8
26.8	0.000844	-0.000508	0	26.8
26.8	0.000839	-0.000426	0	26.8
26.8	0.000835	-0.000344	0	26.8
26.8	0.000832	-0.000262	0	26.8
26.8	0.00083	-0.00018	0	26.8
