# RNG_SEED = 1296062363
# FITNESS = 99.9998
# 
# INPUT_SIZE     = 2
# HIDDEN_SIZE    = 5
# OUTPUT_SIZE    = 1
# ELITISM        = 0.2
# CROSSOVER_PROB = 0.4
# MUTATION_PROB  = 0.9
# MUTATION_RATE  = 0.0666667
# MUTATION_SIZE  = 5
# NUM_RUNS       = 3
# BANG_SIZE      = 1
# MAX_EVAL_TIME  = 100
# SCORE_ANG      = 0.1309
# 
# digraph brain {
#   splines=false; nodesep=1; ranksep="1.5 equally"; rankdir=LR;
#   I0 -> H0 [headlabel=0.49,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H1 [headlabel=-8.48,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H2 [headlabel=14.5,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H3 [headlabel=-17,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I0 -> H4 [headlabel=-6.27,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   I1 -> H0 [headlabel=-2.28,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H1 [headlabel=6.88,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H2 [headlabel=8.37,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H3 [headlabel=-2.53,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   I1 -> H4 [headlabel=0.911,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   H0 -> O0 [headlabel=-5.04,color="#1f77b4",fontcolor="#1f77b4",fontsize=10,labeldistance=3];
#   H1 -> O0 [headlabel=-3.45,color="#ff7f0e",fontcolor="#ff7f0e",fontsize=10,labeldistance=3];
#   H2 -> O0 [headlabel=-14.5,color="#2ca02c",fontcolor="#2ca02c",fontsize=10,labeldistance=3];
#   H3 -> O0 [headlabel=-0.992,color="#d62728",fontcolor="#d62728",fontsize=10,labeldistance=3];
#   H4 -> O0 [headlabel=6.63,color="#9467bd",fontcolor="#9467bd",fontsize=10,labeldistance=3];
#   { rank=same; I0 I1 }
#   { rank=same; H0 H1 H2 H3 H4 }
#   { rank=same; O0 }
# }
# t	theta	thetadot	torque	fitness
0.92	0.0362	-0.0543	0	0.905
0.93	0.0357	-0.0608	-1	0.915
0.94	0.0351	-0.0573	0	0.925
0.95	0.0345	-0.0539	0	0.935
0.96	0.034	-0.0505	0	0.945
0.97	0.0335	-0.0572	-1	0.955
0.98	0.0329	-0.054	0	0.965
0.99	0.0324	-0.0508	0	0.975
1	0.0319	-0.0476	0	0.985
1.01	0.0314	-0.0445	0	0.995
1.02	0.0309	-0.0514	-1	1.01
1.03	0.0304	-0.0484	0	1.02
1.04	0.03	-0.0455	0	1.03
1.05	0.0295	-0.0426	0	1.04
1.06	0.0291	-0.0397	0	1.05
1.07	0.0287	-0.0468	-1	1.06
1.08	0.0282	-0.044	0	1.07
1.09	0.0278	-0.0413	0	1.08
1.1	0.0274	-0.0386	0	1.09
1.11	0.027	-0.0459	-1	1.1
1.12	0.0265	-0.0433	0	1.11
1.13	0.0261	-0.0407	0	1.12
1.14	0.0257	-0.0382	0	1.13
1.15	0.0254	-0.0357	0	1.14
1.16	0.025	-0.0332	0	1.15
1.17	0.0246	-0.0408	-1	1.16
1.18	0.0243	-0.0384	0	1.17
1.19	0.0239	-0.036	0	1.18
1.2	0.0235	-0.0337	0	1.19
1.21	0.0232	-0.0314	0	1.2
1.22	0.0229	-0.0291	0	1.21
1.23	0.0226	-0.0369	-1	1.22
1.24	0.0222	-0.0347	0	1.23
1.25	0.0219	-0.0325	0	1.24
1.26	0.0216	-0.0304	0	1.25
1.27	0.0213	-0.0283	0	1.26
1.28	0.021	-0.0262	0	1.27
1.29	0.0207	-0.0342	-1	1.28
1.3	0.0204	-0.0322	0	1.29
1.31	0.0201	-0.0302	0	1.3
1.32	0.0198	-0.0282	0	1.31
1.33	0.0195	-0.0263	0	1.32
1.34	0.0192	-0.0244	0	1.33
1.35	0.019	-0.0325	-1	1.34
1.36	0.0186	-0.0307	0	1.35
1.37	0.0183	-0.0289	0	1.36
1.38	0.0181	-0.0271	0	1.37
1.39	0.0178	-0.0253	0	1.38
1.4	0.0175	-0.0236	0	1.39
1.41	0.0173	-0.0219	0	1.4
1.42	0.0171	-0.0202	0	1.4
1.43	0.0169	-0.0285	-1	1.41
1.44	0.0166	-0.0269	0	1.42
1.45	0.0163	-0.0253	0	1.43
1.46	0.0161	-0.0237	0	1.44
1.47	0.0159	-0.0221	0	1.45
1.48	0.0156	-0.0206	0	1.46
1.49	0.0154	-0.0191	0	1.47
1.5	0.0153	-0.0175	0	1.48
1.51	0.015	-0.0261	-1	1.49
1.52	0.0148	-0.0246	0	1.5
1.53	0.0146	-0.0232	0	1.51
1.54	0.0143	-0.0217	0	1.52
1.55	0.0141	-0.0203	0	1.53
1.56	0.0139	-0.019	0	1.54
1.57	0.0137	-0.0176	0	1.55
1.58	0.0136	-0.0163	0	1.56
1.59	0.0134	-0.015	0	1.57
1.6	0.0133	-0.0136	0	1.58
1.61	0.0131	-0.0224	-1	1.59
1.62	0.0129	-0.0211	0	1.6
1.63	0.0127	-0.0198	0	1.61
1.64	0.0125	-0.0186	0	1.62
1.65	0.0123	-0.0174	0	1.63
1.66	0.0121	-0.0162	0	1.64
1.67	0.012	-0.015	0	1.65
1.68	0.0118	-0.0138	0	1.66
1.69	0.0117	-0.0127	0	1.67
1.7	0.0116	-0.0115	0	1.68
1.71	0.0115	-0.0104	0	1.69
1.72	0.0113	-0.0193	-1	1.7
1.73	0.0111	-0.0182	0	1.71
1.74	0.011	-0.0171	0	1.72
1.75	0.0108	-0.016	0	1.73
1.76	0.0106	-0.015	0	1.74
1.77	0.0105	-0.014	0	1.75
1.78	0.0104	-0.0129	0	1.76
1.79	0.0102	-0.0119	0	1.77
1.8	0.0101	-0.0109	0	1.78
1.81	0.01	-0.00993	0	1.79
1.82	0.00992	-0.00896	0	1.8
1.83	0.00983	-0.00799	0	1.81
1.84	0.00971	-0.017	-1	1.82
1.85	0.00954	-0.0161	0	1.83
1.86	0.00938	-0.0152	0	1.84
1.87	0.00924	-0.0142	0	1.85
1.88	0.0091	-0.0133	0	1.86
1.89	0.00897	-0.0125	0	1.87
1.9	0.00885	-0.0116	0	1.88
1.91	0.00874	-0.0107	0	1.89
1.92	0.00863	-0.00987	0	1.9
1.93	0.00854	-0.00903	0	1.91
1.94	0.00845	-0.00819	0	1.92
1.95	0.00838	-0.00737	0	1.93
1.96	0.00831	-0.00655	0	1.94
1.97	0.00825	-0.00574	0	1.95
1.98	0.00814	-0.0149	-1	1.96
1.99	0.008	-0.0141	0	1.97
2	0.00786	-0.0134	0	1.98
2.01	0.00773	-0.0126	0	1.99
2.02	0.00761	-0.0118	0	2
2.03	0.00749	-0.0111	0	2.01
2.04	0.00739	-0.0104	0	2.02
2.05	0.00728	-0.00966	0	2.03
2.06	0.00719	-0.00895	0	2.04
2.07	0.00711	-0.00825	0	2.05
2.08	0.00703	-0.00755	0	2.06
2.09	0.00695	-0.00687	0	2.07
2.1	0.00689	-0.00619	0	2.08
2.11	0.00683	-0.00552	0	2.09
2.12	0.00678	-0.00485	0	2.1
2.13	0.00673	-0.00419	0	2.11
2.14	0.0067	-0.00353	0	2.12
2.15	0.00666	-0.00287	0	2.13
2.16	0.00659	-0.0122	-1	2.14
2.17	0.00647	-0.0116	0	2.15
2.18	0.00636	-0.011	0	2.16
2.19	0.00625	-0.0103	0	2.17
2.2	0.00615	-0.00973	0	2.18
2.21	0.00606	-0.00913	0	2.19
2.22	0.00597	-0.00854	0	2.2
2.23	0.00588	-0.00796	0	2.21
2.24	0.00581	-0.00738	0	2.22
2.25	0.00574	-0.00682	0	2.23
2.26	0.00567	-0.00626	0	2.24
2.27	0.00561	-0.0057	0	2.25
2.28	0.00556	-0.00516	0	2.26
2.29	0.00551	-0.00461	0	2.27
2.3	0.00546	-0.00408	0	2.28
2.31	0.00543	-0.00354	0	2.29
2.32	0.00539	-0.00301	0	2.3
2.33	0.00537	-0.00248	0	2.31
2.34	0.00534	-0.00196	0	2.32
2.35	0.00533	-0.00143	0	2.33
2.36	0.00532	-0.000912	0	2.34
2.37	0.00526	-0.0104	-1	2.35
2.38	0.00516	-0.00988	0	2.36
2.39	0.00506	-0.00938	0	2.37
2.4	0.00497	-0.00889	0	2.38
2.41	0.00488	-0.00841	0	2.39
2.42	0.0048	-0.00793	0	2.4
2.43	0.00473	-0.00746	0	2.41
2.44	0.00465	-0.007	0	2.42
2.45	0.00459	-0.00655	0	2.43
2.46	0.00452	-0.0061	0	2.44
2.47	0.00446	-0.00566	0	2.45
2.48	0.00441	-0.00523	0	2.46
2.49	0.00436	-0.0048	0	2.47
2.5	0.00431	-0.00437	0	2.48
2.51	0.00427	-0.00395	0	2.49
2.52	0.00423	-0.00353	0	2.5
2.53	0.0042	-0.00312	0	2.51
2.54	0.00417	-0.00271	0	2.52
2.55	0.00415	-0.0023	0	2.53
2.56	0.00413	-0.0019	0	2.54
2.57	0.00411	-0.00149	0	2.55
2.58	0.0041	-0.00109	0	2.56
2.59	0.00409	-0.000689	0	2.57
2.6	0.00408	-0.000288	0	2.58
2.61	0.00408	0.000112	0	2.59
2.62	0.00408	0.000512	0	2.6
2.63	0.00409	0.000913	0	2.61
2.64	0.0041	0.00132	0	2.62
2.65	0.00407	-0.00828	-1	2.63
2.66	0.00399	-0.00789	0	2.64
2.67	0.00391	-0.0075	0	2.65
2.68	0.00384	-0.00712	0	2.66
2.69	0.00377	-0.00675	0	2.67
2.7	0.0037	-0.00638	0	2.68
2.71	0.00364	-0.00602	0	2.69
2.72	0.00358	-0.00567	0	2.7
2.73	0.00353	-0.00532	0	2.71
2.74	0.00347	-0.00498	0	2.72
2.75	0.00343	-0.00464	0	2.73
2.76	0.00338	-0.0043	0	2.74
2.77	0.00334	-0.00397	0	2.75
2.78	0.0033	-0.00365	0	2.76
2.79	0.00327	-0.00333	0	2.77
2.8	0.00324	-0.00301	0	2.78
2.81	0.00321	-0.00269	0	2.79
2.82	0.00318	-0.00238	0	2.8
2.83	0.00316	-0.00207	0	2.81
2.84	0.00314	-0.00176	0	2.82
2.85	0.00312	-0.00145	0	2.83
2.86	0.00311	-0.00114	0	2.84
2.87	0.0031	-0.00084	0	2.85
2.88	0.00309	-0.000536	0	2.86
2.89	0.00309	-0.000233	0	2.87
2.9	0.00309	7.03e-05	0	2.88
2.91	0.00309	0.000373	0	2.89
2.92	0.0031	0.000677	0	2.9
2.93	0.00311	0.000981	0	2.91
2.94	0.00312	0.00129	0	2.92
2.95	0.00313	0.00159	0	2.93
2.96	0.00315	0.0019	0	2.94
2.97	0.00317	0.00221	0	2.95
2.98	0.00319	0.00252	0	2.96
2.99	0.00317	-0.00716	-1	2.97
3	0.0031	-0.00686	0	2.98
3.01	0.00303	-0.00656	0	2.99
3.02	0.00297	-0.00626	0	3
3.03	0.00291	-0.00597	0	3.01
3.04	0.00285	-0.00569	0	3.02
3.05	0.00279	-0.00541	0	3.03
3.06	0.00274	-0.00514	0	3.04
3.07	0.00269	-0.00488	0	3.05
3.08	0.00264	-0.00461	0	3.06
3.09	0.0026	-0.00436	0	3.07
3.1	0.00256	-0.00411	0	3.08
3.11	0.00252	-0.00386	0	3.09
3.12	0.00248	-0.00361	0	3.1
3.13	0.00244	-0.00337	0	3.11
3.14	0.00241	-0.00313	0	3.12
3.15	0.00238	-0.0029	0	3.13
3.16	0.00235	-0.00266	0	3.14
3.17	0.00233	-0.00243	0	3.15
3.18	0.0023	-0.00221	0	3.16
3.19	0.00228	-0.00198	0	3.17
3.2	0.00227	-0.00176	0	3.18
3.21	0.00225	-0.00154	0	3.19
3.22	0.00223	-0.00132	0	3.2
3.23	0.00222	-0.0011	0	3.21
3.24	0.00221	-0.000882	0	3.22
3.25	0.0022	-0.000665	0	3.23
3.26	0.0022	-0.000449	0	3.24
3.27	0.0022	-0.000234	0	3.25
3.28	0.00219	-1.84e-05	0	3.26
3.29	0.0022	0.000197	0	3.27
3.3	0.0022	0.000412	0	3.28
3.31	0.0022	0.000628	0	3.29
3.32	0.00221	0.000845	0	3.3
3.33	0.00222	0.00106	0	3.31
3.34	0.00223	0.00128	0	3.32
3.35	0.00225	0.0015	0	3.33
3.36	0.00226	0.00172	0	3.34
3.37	0.00228	0.00194	0	3.35
3.38	0.0023	0.00217	0	3.36
3.39	0.00232	0.0024	0	3.37
3.4	0.00235	0.00262	0	3.38
3.41	0.00238	0.00286	0	3.39
3.42	0.00241	0.00309	0	3.4
3.43	0.00244	0.00333	0	3.41
3.44	0.00247	0.00357	0	3.42
3.45	0.00251	0.00381	0	3.43
3.46	0.0025	-0.00594	-1	3.44
3.47	0.00244	-0.0057	0	3.45
3.48	0.00239	-0.00546	0	3.46
3.49	0.00233	-0.00523	0	3.47
3.5	0.00228	-0.005	0	3.48
3.51	0.00223	-0.00478	0	3.49
3.52	0.00218	-0.00456	0	3.5
3.53	0.00214	-0.00435	0	3.51
3.54	0.0021	-0.00414	0	3.52
3.55	0.00206	-0.00394	0	3.53
3.56	0.00202	-0.00374	0	3.54
3.57	0.00198	-0.00354	0	3.55
3.58	0.00195	-0.00335	0	3.56
3.59	0.00192	-0.00316	0	3.57
3.6	0.00188	-0.00298	0	3.58
3.61	0.00186	-0.00279	0	3.59
3.62	0.00183	-0.00261	0	3.6
3.63	0.0018	-0.00243	0	3.61
3.64	0.00178	-0.00226	0	3.62
3.65	0.00176	-0.00208	0	3.63
3.66	0.00174	-0.00191	0	3.64
3.67	0.00172	-0.00174	0	3.65
3.68	0.0017	-0.00158	0	3.66
3.69	0.00169	-0.00141	0	3.67
3.7	0.00168	-0.00124	0	3.68
3.71	0.00166	-0.00108	0	3.69
3.72	0.00165	-0.000918	0	3.7
3.73	0.00165	-0.000756	0	3.71
3.74	0.00164	-0.000595	0	3.72
3.75	0.00163	-0.000434	0	3.73
3.76	0.00163	-0.000274	0	3.74
3.77	0.00163	-0.000114	0	3.75
3.78	0.00163	4.55e-05	0	3.76
3.79	0.00163	0.000205	0	3.77
3.8	0.00163	0.000365	0	3.78
3.81	0.00164	0.000525	0	3.79
3.82	0.00164	0.000686	0	3.8
3.83	0.00165	0.000848	0	3.81
3.84	0.00166	0.00101	0	3.82
3.85	0.00167	0.00117	0	3.83
3.86	0.00168	0.00134	0	3.84
3.87	0.0017	0.0015	0	3.85
3.88	0.00171	0.00167	0	3.86
3.89	0.00173	0.00184	0	3.87
3.9	0.00175	0.00201	0	3.88
3.91	0.00177	0.00218	0	3.89
3.92	0.00179	0.00236	0	3.9
3.93	0.00182	0.00254	0	3.91
3.94	0.00184	0.00271	0	3.92
3.95	0.00187	0.0029	0	3.93
3.96	0.0019	0.00308	0	3.94
3.97	0.00193	0.00327	0	3.95
3.98	0.00197	0.00346	0	3.96
3.99	0.002	0.00366	0	3.97
4	0.00204	0.00385	0	3.98
4.01	0.00208	0.00406	0	3.99
4.02	0.00212	0.00426	0	4
4.03	0.00212	-0.00553	-1	4.01
4.04	0.00206	-0.00532	0	4.02
4.05	0.00201	-0.00512	0	4.03
4.06	0.00196	-0.00493	0	4.04
4.07	0.00191	-0.00474	0	4.05
4.08	0.00186	-0.00455	0	4.06
4.09	0.00182	-0.00437	0	4.07
4.1	0.00178	-0.0042	0	4.08
4.11	0.00174	-0.00403	0	4.09
4.12	0.0017	-0.00386	0	4.1
4.13	0.00166	-0.00369	0	4.11
4.14	0.00162	-0.00353	0	4.12
4.15	0.00159	-0.00337	0	4.13
4.16	0.00155	-0.00322	0	4.14
4.17	0.00152	-0.00307	0	4.15
4.18	0.00149	-0.00292	0	4.16
4.19	0.00146	-0.00278	0	4.17
4.2	0.00144	-0.00263	0	4.18
4.21	0.00141	-0.00249	0	4.19
4.22	0.00139	-0.00236	0	4.2
4.23	0.00136	-0.00222	0	4.21
4.24	0.00134	-0.00209	0	4.22
4.25	0.00132	-0.00196	0	4.23
4.26	0.0013	-0.00183	0	4.24
4.27	0.00129	-0.0017	0	4.25
4.28	0.00127	-0.00158	0	4.26
4.29	0.00125	-0.00145	0	4.27
4.3	0.00124	-0.00133	0	4.28
4.31	0.00123	-0.00121	0	4.29
4.32	0.00122	-0.00109	0	4.3
4.33	0.00121	-0.000971	0	4.31
4.34	0.0012	-0.000853	0	4.32
4.35	0.00119	-0.000736	0	4.33
4.36	0.00118	-0.00062	0	4.34
4.37	0.00118	-0.000504	0	4.35
4.38	0.00117	-0.000389	0	4.36
4.39	0.00117	-0.000274	0	4.37
4.4	0.00117	-0.000159	0	4.38
4.41	0.00117	-4.48e-05	0	4.39
4.42	0.00117	6.96e-05	0	4.4
4.43	0.00117	0.000184	0	4.41
4.44	0.00117	0.000299	0	4.42
4.45	0.00117	0.000414	0	4.43
4.46	0.00118	0.000529	0	4.44
4.47	0.00118	0.000645	0	4.45
4.48	0.00119	0.000761	0	4.46
4.49	0.0012	0.000879	0	4.47
4.5	0.00121	0.000997	0	4.48
4.51	0.00122	0.00112	0	4.49
4.52	0.00123	0.00124	0	4.5
4.53	0.00124	0.00136	0	4.51
4.54	0.00126	0.00148	0	4.52
4.55	0.00127	0.0016	0	4.53
4.56	0.00129	0.00173	0	4.54
4.57	0.00131	0.00186	0	4.55
4.58	0.00133	0.00199	0	4.56
4.59	0.00135	0.00212	0	4.57
4.6	0.00137	0.00225	0	4.58
4.61	0.00139	0.00239	0	4.59
4.62	0.00142	0.00252	0	4.6
4.63	0.00144	0.00266	0	4.61
4.64	0.00147	0.00281	0	4.62
4.65	0.0015	0.00295	0	4.63
4.66	0.00153	0.0031	0	4.64
4.67	0.00156	0.00325	0	4.65
4.68	0.00159	0.00341	0	4.66
4.69	0.00163	0.00357	0	4.67
4.7	0.00167	0.00373	0	4.68
4.71	0.0017	0.00389	0	4.69
4.72	0.00174	0.00406	0	4.7
4.73	0.00179	0.00424	0	4.71
4.74	0.00183	0.00441	0	4.72
4.75	0.00187	0.00459	0	4.73
4.76	0.00192	0.00478	0	4.74
4.77	0.00192	-0.00503	-1	4.75
4.78	0.00187	-0.00484	0	4.76
4.79	0.00182	-0.00466	0	4.77
4.8	0.00178	-0.00449	0	4.78
4.81	0.00173	-0.00431	0	4.79
4.82	0.00169	-0.00415	0	4.8
4.83	0.00165	-0.00398	0	4.81
4.84	0.00161	-0.00382	0	4.82
4.85	0.00157	-0.00367	0	4.83
4.86	0.00154	-0.00351	0	4.84
4.87	0.0015	-0.00337	0	4.85
4.88	0.00147	-0.00322	0	4.86
4.89	0.00144	-0.00308	0	4.87
4.9	0.00141	-0.00294	0	4.88
4.91	0.00138	-0.0028	0	4.89
4.92	0.00135	-0.00267	0	4.9
4.93	0.00133	-0.00253	0	4.91
4.94	0.0013	-0.00241	0	4.92
4.95	0.00128	-0.00228	0	4.93
4.96	0.00126	-0.00216	0	4.94
4.97	0.00124	-0.00203	0	4.95
4.98	0.00122	-0.00191	0	4.96
4.99	0.0012	-0.00179	0	4.97
5	0.00118	-0.00168	0	4.98
5.01	0.00116	-0.00156	0	4.99
5.02	0.00115	-0.00145	0	5
5.03	0.00113	-0.00134	0	5.01
