# t	p	dpdt	w	dwdt	ctrl	T	V
2.19984	-0.0260534	-0.0392352	-0.823424	-0.365003	0	0.145933	196.133
2.23339	-0.0279068	-0.0716133	-0.832892	-0.198031	0	0.129558	196.124
2.26691	-0.030887	-0.106826	-0.836596	-0.0208636	-10	0.123268	196.106
2.3004	-0.031372	0.0777638	-0.852795	-0.946017	0	0.258575	196.103
2.33403	-0.0293775	0.0412477	-0.881525	-0.763939	0	0.212007	196.115
2.36766	-0.0285791	0.00640194	-0.904243	-0.58791	0	0.175462	196.12
2.4011	-0.0289389	-0.0279967	-0.920996	-0.413769	0	0.148318	196.118
2.43464	-0.0304704	-0.063621	-0.931896	-0.235048	0	0.13065	196.109
2.46815	-0.0332322	-0.101757	-0.93666	-0.0472952	-10	0.124016	196.092
2.50172	-0.0335891	0.0804183	-0.953641	-0.964062	0	0.265911	196.089
2.53525	-0.0315536	0.0413918	-0.982741	-0.773044	0	0.217884	196.102
2.56882	-0.0307946	0.00398349	-1.00557	-0.587821	0	0.18084	196.107
2.60233	-0.0312826	-0.0332032	-1.02219	-0.40348	0	0.154124	196.104
2.63584	-0.0330348	-0.0717172	-1.03256	-0.214345	-10	0.138158	196.093
2.66943	-0.0323705	0.111418	-1.05521	-1.13477	0	0.326907	196.097
2.70302	-0.0292592	0.0744312	-1.0902	-0.951066	0	0.269855	196.116
2.73656	-0.0273386	0.0404959	-1.11918	-0.778478	0	0.223661	196.127
2.77013	-0.0265248	0.00814777	-1.14251	-0.611573	0	0.186451	196.131
2.80366	-0.0267868	-0.0238291	-1.16024	-0.446077	0	0.157623	196.13
2.83721	-0.0281346	-0.0567832	-1.17239	-0.277016	0	0.137343	196.122
2.87077	-0.030623	-0.0920242	-1.17874	-0.099674	-10	0.126821	196.108
2.90437	-0.0305933	0.0937978	-1.19772	-1.03016	0	0.285331	196.108
2.93785	-0.0280488	0.0587056	-1.22922	-0.853471	0	0.234755	196.123
2.97137	-0.0266352	0.0259259	-1.25499	-0.685091	0	0.193843	196.13
3.0049	-0.0262994	-0.00582761	-1.27519	-0.520402	0	0.161417	196.132
3.0385	-0.0270311	-0.0378792	-1.2899	-0.354537	0	0.13718	196.128
3.0721	-0.0288624	-0.0714672	-1.29896	-0.183099	-10	0.121835	196.118
3.10558	-0.0281148	0.116287	-1.32076	-1.11983	0	0.304253	196.122
